"code","iso","country","CEH.raw.2005","CEH.raw.2006","CEH.raw.2007","CEH.raw.2008","CEH.raw.2009","CEH.raw.2010","CEH.raw.2011","CEH.raw.2012","CEH.raw.2013","CEH.raw.2014"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",26.154,25.7705,31.3794,0,1.1899,2.0447,7.3842,0,0,0
12,"DZA","Algeria",608.8729,624.5442,600.1951,599.3545,640.6606,548.5178,558.7899,552.2689,517.2753,507.9131
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",275.3406,262.7238,303.4952,333.3272,469.988,434.5873,394.3727,297.0103,282.9679,362.9059
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ARG","Argentina",309.8617,332.6988,379.6166,366.1292,361.5051,363.4152,388.099,400.1521,372.4853,393.8591
51,"ARM","Armenia",139.0241,138.9859,164.2884,165.4893,108.5436,95.4345,125.4492,177.5507,170.5486,200.1961
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",883.431,882.184,871.273,870.795,893.922,834.308,798.814,803.849,767.337,734.749
40,"AUT","Austria",222.926,217.89,204.648,188.1,168.177,188.101,201.073,164.458,163.191,151.976
31,"AZE","Azerbaijan",475.2305,461.447,529.5298,499.9428,469.0663,422.8432,446.41,482.1419,468.7942,460.2849
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",772.7122,793.2601,756.2897,769.5499,788.521,754.4453,754.2408,758.8107,759.7513,754.0351
50,"BGD","Bangladesh",554.4186,571.4922,579.1353,574.3879,573.1946,591.2062,569.4218,578.7626,582.039,586.6227
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",297.5185,297.8288,294.9487,305.1407,304.0931,294.2278,289.1337,280.8791,278.4965,277.3446
56,"BEL","Belgium",276.13,264.034,253.518,250.054,214.959,220.333,197.812,213.935,194.777,201.271
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",716.6075,704.9156,668.8182,685.8079,726.6094,726.94,724.1806,712.679,704.4335,697.1902
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",331.0731,327.9575,335.9885,376.9367,395.2339,431.5784,435.6931,428.5169,393.6823,413.502
70,"BIH","Bosnia and Herzegovina",796.3737,850.0905,998.4944,818.1749,791.7638,713.0666,937.6915,936.6632,764.3557,829.1463
72,"BWA","Botswana",1595.2414,1298.4578,1298.8901,1511.6686,1511.2793,1260,3297.68,2935.3343,1214.56,1587.4482
76,"BRA","Brazil",84.6521,81.7149,72.7561,90.5653,64.8935,87.2792,68.6852,99.5691,135.1466,160.1817
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",804.3272,843.52,742.8804,794.7558,792.6966,733.7848,720.3903,726.3394,619.9875,625.5557
100,"BGR","Bulgaria",462.056,456.7582,534.619,503.8745,478.3327,482.3269,523.865,479.7025,452.0588,454.7287
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",801.0415,804.6131,813.2599,828.7295,824.633,812.2012,801.0399,534.5851,379.1811,396.7986
120,"CMR","Cameroon",40.8756,83.5196,163.6225,162.1211,198.023,209.0758,200.4346,215.6414,230.4951,175.3892
124,"CAN","Canada",200.676,201.182,210.858,190.756,173.107,183.512,168.501,158.038,150.421,146.294
132,"CPV","Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",319.727,307.017,383.025,405.205,376.502,415.214,447.584,489.886,479.812,399.183
156,"CHN","China",800.8365,798.8893,770.0181,733.4795,724.1727,718.7175,726.0319,698.4902,678.7991,652.7068
170,"COL","Colombia",133.4523,128.8469,129.2264,109.0051,178.0374,180.693,105.6258,123.7648,165.5165,185.5679
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",28.2377,55.7389,72.2397,64.0928,40.1269,56.275,64.4004,54.9101,80.5059,72.7139
384,"CIV","Cote d'Ivoire",459.7423,387.3457,411.0705,451.101,392.9349,463.1138,438.9608,493.1323,449.2446,454.1182
191,"HRV","Croatia",304.4527,311.8319,378.0413,333.7438,275.0551,231.702,305.2387,292.3278,222.4392,200.9772
192,"CUB","Cuba",832.2972,774.671,756.8525,772.1189,777.7222,913.6963,829.6266,814.3081,781.6474,769.8861
531,"CUW","Curacao",697.7877,697.101,695.8193,693.6449,694.8675,695.845,694.7947,688.5016,688.083,687.6532
196,"CYP","Cyprus",796.3358,765.7749,768.3186,766.1727,753.3599,711.6065,738.4614,732.2953,644.347,655.7832
203,"CZE","Czech Republic",534.048,535.486,560.772,547,523.273,525.48,528.642,497.27,465.957,455.424
180,"COD","Dem. Rep. Congo",0.8697,3.9084,6.6668,7.8108,6.6906,6.6474,6.6525,0.4221,0.3891,0.8203
208,"DNK","Denmark",294.404,355.539,326.489,306.198,303.71,273.173,248.596,212.594,233.487,204.43
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",639.9202,627.4098,619.2684,635.5926,627.0503,602.2148,600.7507,577.5868,583.0775,548.1863
218,"ECU","Ecuador",347.1004,375.2062,337.1431,250.855,328.1135,413.5331,336.6845,313.423,348.9453,352.6386
818,"EGY","Egypt",478.4111,472.8223,441.8708,465.3283,469.5147,426.5892,423.774,446.6336,428.6339,421.4127
222,"SLV","El Salvador",306.2042,314.8272,319.7073,273.1888,276.0532,222.482,234.7113,236.9408,259.39,264.4
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",984.7083,971.5279,950.9722,810.0244,841.4407,859.0804,857.9763,857.9192,857.0386,857.8973
233,"EST","Estonia",720.597,661.408,759.584,763.755,713.334,745.833,711.308,664.815,748.665,732.048
231,"ETH","Ethiopia",3.3821,2.9434,44.3042,119.7249,122.9168,7.0837,6.5803,1.6863,1.1036,1.0007
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"FIN","Finland",192.082,254.948,241.299,196.829,208.28,227.971,202.818,165.639,179.749,165.958
250,"FRA","France",94.312,87.638,90.732,83.285,86.976,90.398,73.626,74.24,71.928,48.898
254,"GUF","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",381.4149,348.0985,428.0531,355.9468,357.6142,397.7521,437.5996,435.0995,407.8185,460.2383
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",110.809,150.9115,165.3679,88.03,129.404,76.938,101.9411,117.48,85.2148,108.753
276,"DEU","Germany",465.554,461.519,481.586,454.032,444.739,439.427,449.289,450.848,451.045,440.54
288,"GHA","Ghana",148.2687,278.4503,363.2663,217.4111,189.9426,297.3039,216.8613,251.4207,273.2402,242.8195
292,"GIB","Gibraltar",746.9793,758.2914,758.7032,764.3494,764.7644,751.8023,760.0936,756.0739,753.2063,750.2172
300,"GRC","Greece",789.414,739.528,761.978,756.165,733.873,726.974,714.803,692.721,647.376,667.243
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"GLP","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,"GUM","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",396.2543,376.9881,374.2838,348.2037,353.1626,285.8483,272.1399,258.1041,289.9788,306.307
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",310.2608,308.2667,517.6966,498.5226,361.3856,472.0239,293.8261,624.8182,629.2739,782.7754
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",413.081,268.8908,422.5804,412.6745,345.3861,333.0648,378.7506,236.3111,270.7616,445.9288
344,"HKG","Hong Kong",768.78,767.1188,788.6726,770.6486,776.6564,733.7762,780.0671,771.1859,782.4102,795.1919
348,"HUN","Hungary",343.832,342.735,348.537,333.531,304.55,309.159,309.816,303.641,275.62,269.405
352,"ISL","Iceland",0.449,0.411,1,0.454,0.218,0.208,0.136,0.132,0.129,0.129
356,"IND","India",784.4979,770.5995,796.9923,807.7765,830.1465,806.3826,775.7235,820.8455,782.2719,812.8108
360,"IDN","Indonesia",728.5055,747.3966,780.0128,758.7876,757.3833,722.3136,761.7349,720.386,666.6189,736.4092
364,"IRN","Iran",545.2507,553.7822,550.8384,585.9335,582.5981,568.8485,581.5684,574.1386,582.1191,567.2471
368,"IRQ","Iraq",795.4448,645.986,453.1167,678.3464,1212.1474,1094.399,970.3538,1281.5834,1182.5296,1176.8175
372,"IRL","Ireland",590.184,541.605,515.042,474.875,454.877,460.417,428.351,460.914,435.119,425.202
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",789.73,787.63,783.593,724.428,706.069,698.087,737.862,779.893,694.555,649.776
380,"ITA","Italy",452.624,446.725,444.014,425.27,389.459,381.981,374.002,364.666,319.473,308.258
388,"JAM","Jamaica",577.3684,489.9402,620.2343,655.2248,648.3313,659.4975,670.3559,697.3666,663.2449,615.1678
392,"JPN","Japan",446.198,435.01,467.917,452.872,427.76,428.605,507.975,558.778,568.673,554.037
400,"JOR","Jordan",664.5489,629.7537,591.4308,597.3471,587.146,579.4514,643.16,641.5653,639.3961,655.9556
398,"KAZ","Kazakhstan",457.0377,580.789,498.81,451.4575,405.022,392.8105,403.2521,419.0776,437.1552,444.1766
404,"KEN","Kenya",257.7619,269.5202,258.2337,334.871,406.3116,280.931,300.8258,228.8272,279.1918,168.4469
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,"XKX","Kosovo",1122.7703,1126.9611,1090.5115,1089.1703,1285.6803,1301.7265,1123.6843,1040.8842,975.77,1009.8728
414,"KWT","Kuwait",806.6153,793.3912,789.4296,785.1715,877.7068,764.242,794.1407,751.4921,740.5444,701.7102
417,"KGZ","Kyrgyzstan",109.3882,106.433,103.2729,145.8224,144.4731,106.7747,93.6656,98.8373,95.0966,116.9186
418,"LAO","Laos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,"LVA","Latvia",162.6948,168.2233,164.9708,163.1391,153.9707,162.6885,167.3048,144.9583,154.2166,145.3504
422,"LBN","Lebanon",595.9573,713.5143,668.8105,722.3361,723.8758,715.8084,714.0833,813.7785,740.3317,713.2154
426,"LSO","Lesotho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,"LBR","Liberia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,"LBY","Libya",910.0975,890.4596,786.1088,747.9937,726.9586,690.1594,680.2678,673.1316,653.1851,659.5249
438,"LIE","Liechtenstein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,"LTU","Lithuania",136.5312,138.5223,121.5502,115.2683,111.8062,202.8929,171.5998,170.9592,144.5549,115.5276
442,"LUX","Luxembourg",319.444,318.189,321.023,308.802,320.744,314.54,308.582,308.234,275.404,265.292
446,"MAC","Macao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
807,"MKD","Macedonia",709.1672,706.7663,776.6612,802.4055,723.7679,646.2591,784.0481,809.3392,710.6785,750.836
450,"MDG","Madagascar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,"MWI","Malawi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,"MYS","Malaysia",662.1949,640.3208,651.1812,696.7439,636.2151,768.9581,682.6158,681.1677,693.0989,665.6251
462,"MDV","Maldives",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,"MLI","Mali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
470,"MLT","Malta",1044.2259,963.7851,1022.1154,857.2807,858.6093,879.2493,873.4901,877.9433,727.3629,712.6593
584,"MHL","Marshall Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
474,"MTQ","Martinique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,"MRT","Mauritania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,"MUS","Mauritius",691.1303,788.0651,807.5915,791.5632,783.9938,820.8836,803.2171,808.8359,812.0256,827.8855
175,"MYT","Mayotte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,"MEX","Mexico",531.298,509.614,513.374,474.941,505.463,493.426,482.383,495.328,481.741,457.068
583,"FSM","Micronesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,"MDA","Moldova",385.7941,372.2389,390.242,388.5967,409.0488,394.0346,393.7471,404.2245,375.4641,395.0309
492,"MCO","Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,"MNG","Mongolia",613.7523,592.5801,630.5211,607.7489,604.8917,633.3595,635.9478,643.1514,691.6006,678.4564
499,"MNE","Montenegro",393.9871,438.3415,469.0527,543.7931,295.4877,431.0249,667.9179,556.5826,389.3589,468.9619
500,"MSR","Montserrat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,"MAR","Morocco",843.3555,832.9062,815.9758,799.6763,709.1191,694.5286,745.72,707.6371,646.5428,707.8142
508,"MOZ","Mozambique",1.3493,1.0262,0.5574,0.4005,0.5058,0.6511,0.9118,1.1882,11.7625,41.3329
104,"MMR","Myanmar",398.4187,377.6171,360.9387,311.2314,201.2461,264.7231,192.2242,218.3505,214.7914,279.2525
516,"NAM","Namibia",25.8639,91.83,107.0159,151.1711,72.8517,23.9632,13.7126,56.1455,57.1014,8.984
520,"NRU","Nauru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,"NPL","Nepal",5.422,3.7344,2.4502,2.4328,3.2944,1.0664,0,3.8519,1.9451,28.8259
528,"NLD","Netherlands",404.471,396.638,405.939,395.498,377.326,375.35,366.112,379.321,384.062,404.27
530,"ANT","Netherlands Antilles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,"NCL","New Caledonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,"NZL","New Zealand",238.838,233.438,198.32,217.382,170.385,153.608,143.219,174.732,154.692,130.436
558,"NIC","Nicaragua",486.0669,527.1621,538.486,484.8807,510.9215,464.7316,475.6059,410.7326,343.9731,330.8283
562,"NER","Niger",640.646,569.9948,544.3856,550.4963,540.2472,660.7939,633.9246,653.8315,554.9264,676.3174
566,"NGA","Nigeria",338.1838,367.963,367.968,367.9626,389.1651,381.5863,394.9136,405.2502,411.6794,415.9628
570,"NIU","Niue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,"NFK","Norfolk Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,"PRK","North Korea",531.8436,543.588,477.5197,490.5122,524.9225,477.3263,386.4974,385.2289,292.0858,339.6692
580,"MNP","Northern Mariana Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,"NOR","Norway",4.941,6.148,6.742,5.675,14.658,21.398,19.201,12.856,12.832,13.081
512,"OMN","Oman",696.248,697.87,685.1414,664.7619,647.3478,638.6639,614.1158,602.0361,568.219,548.7145
586,"PAK","Pakistan",383.3272,416.5814,435.7383,454.2689,461.161,427.9401,412.6356,420.4332,418.3312,425.2557
585,"PLW","Palau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,"PAN","Panama",277.4459,313.5789,320.7443,276.2022,350.7158,369.4502,395.1772,325.9477,325.0392,351.9302
598,"PNG","Papua New Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
600,"PRY","Paraguay",0,0,0,0,0,0,0,0,0,0.0574
604,"PER","Peru",210.9176,184.8423,200.5914,241.7409,255.3627,292.1925,299.5272,287.243,251.1582,254.1013
608,"PHL","Philippines",498.9682,436.1468,449.965,491.0554,482.5139,488.7164,500.2578,510.1252,576.9491,603.996
612,"PCN","Pitcairn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
616,"POL","Poland",669.335,676.419,677.192,674.704,659.352,644.175,656.375,632.298,635.562,629.922
620,"PRT","Portugal",506.373,422.512,388.602,387.243,371.989,255.221,299.004,352.448,274.443,265.879
630,"PRI","Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,"QAT","Qatar",621.075,619.6235,568.1993,536.5577,509.6034,495.4838,492.1872,495.4262,496.5792,497.0696
178,"COG","Republic of Congo",103.8684,103.181,102.1916,108.0694,246.0557,268.8099,231.2838,246.2324,253.5295,265.896
638,"REU","Reunion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
642,"ROU","Romania",426.8086,448.8885,467.3405,450.3806,423.8764,381.2337,440.3307,428.0067,341.1124,314.2583
643,"RUS","Russia",330.9291,335.0422,328.0137,331.4592,323.2458,329.4766,338.4203,332.4106,343.5686,319.6686
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,"SHN","Saint Helena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
662,"LCA","Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,"SPM","Saint Pierre and Miquelon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,"SAU","Saudi Arabia",744.7263,754.8204,731.7174,741.3706,763.368,742.7352,760.6178,744.2286,727.0362,711.1488
686,"SEN","Senegal",641.1483,733.7178,611.1487,600.9977,692.127,624.828,569.7336,550.963,583.7099,583.8491
688,"SRB","Serbia",660.8452,714.8555,645.287,653.9866,672.5248,645.745,693.0883,674.0895,665.7422,616.1077
690,"SYC","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,"SLE","Sierra Leone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,"SGP","Singapore",515.2234,503.7617,494.0387,476.6323,477.4881,485.1306,487.722,468.4684,455.5032,440.9032
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"SVK","Slovakia",233.071,227.111,233.469,221.648,225.595,216.241,216.968,205.664,189.743,178.949
705,"SVN","Slovenia",351.377,361.957,373.919,335.375,322.194,327.318,338.442,331.064,314.843,233.249
90,"SLB","Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,"SOM","Somalia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,"ZAF","South Africa",868.7792,848.4604,844.013,967.0424,924.1324,945.4398,887.1941,925.363,941.4913,1009.3647
410,"KOR","South Korea",468.555,472.915,463.599,469.59,508.289,520.076,532.005,525.913,512.703,494.891
728,"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,850.4202,856.1271,854.3525
724,"ESP","Spain",402.152,373.668,392.344,330.139,299.465,239.715,296.231,309.596,244.815,255.192
144,"LKA","Sri Lanka",480.9731,338.6713,398.0688,386.4825,408.0566,312.3283,440.9032,543.8402,335.9301,545.2631
275,"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,"SDN","Sudan",621.2039,665.3736,586.0506,606.8538,416.7393,144.9375,196.4034,203.9972,189.6238,176.6843
740,"SUR","Suriname",446.8406,314.4472,248.2605,222.5316,236.5534,303.9205,392.9498,371.5634,405.4538,374.5422
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,"SWZ","Swaziland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,"SWE","Sweden",43.71,47.499,39.76,39.311,42.293,50.771,40.927,32.679,35.157,30.829
756,"CHE","Switzerland",47.782,44.6,39.778,39.457,36.708,39.116,39.665,37.696,36.712,34.15
760,"SYR","Syria",611.8121,617.1896,628.3059,632.0224,634.0356,598.8265,605.0213,584.6561,555.6161,537.24
158,"TWN","Taiwan",658.582,666.8607,662.2258,656.9925,644.0461,632.9113,608.8939,590.8205,575.3675,580.9225
762,"TJK","Tajikistan",32.4979,32.8429,16.8839,11.9398,5.034,2.1936,2.2481,2.7562,2.3058,10.8703
834,"TZA","Tanzania",380.6385,459.9472,330.8991,281.4675,253.8298,278.9721,376.3157,445.5173,478.9493,389.2164
764,"THA","Thailand",540.8806,516.1351,552.7102,534.854,519.0276,518.3772,528.2371,505.6175,528.9348,531.3023
626,"TLS","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
768,"TGO","Togo",355.5608,463.2986,407.9439,208.5691,231.7237,375.3408,125.1094,173.018,206.5054,135.2465
772,"TKL","Tokelau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
776,"TON","Tonga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
780,"TTO","Trinidad and Tobago",763.5809,726.3523,757.651,702.9151,712.8861,703.349,706.5185,680.1781,651.3805,619.8005
788,"TUN","Tunisia",470.549,494.8785,508.3716,496.2074,490.3137,432.337,450.156,442.279,443.3845,458.061
792,"TUR","Turkey",433.874,446.124,486.467,503.679,488.392,452.919,465.624,454.109,428.68,478.023
795,"TKM","Turkmenistan",798.9309,798.9231,798.9173,848.3472,793.4438,871.573,898.0591,900.9881,859.4768,811.2903
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800,"UGA","Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804,"UKR","Ukraine",336.9029,352.3154,353.0086,356.097,344.0532,339.9372,360.9565,367.5561,364.3111,370.4403
784,"ARE","United Arab Emirates",847.9148,824.2294,724.0667,768.9873,634.5488,600.9458,600.4747,641.0488,620.1381,643.3694
826,"GBR","United Kingdom",495.23,518.805,509.222,491.456,445.426,449.717,440.094,482.804,455.98,409.378
840,"USA","United States of America",581.463,553.233,560.811,544.441,516.756,521.782,502.628,479.94,482.256,478.882
850,"VIR","United States Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
858,"URY","Uruguay",103.8608,299.0511,105.4406,310.0198,255.3909,79.5706,197.8189,276.1429,124.2655,43.0529
860,"UZB","Uzbekistan",473.9322,471.2509,485.9977,447.5009,471.4687,464.972,464.3451,456.0732,465.2491,464.853
548,"VUT","Vanuatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
862,"VEN","Venezuela",208.7095,215.9423,207.9411,204.4149,208.8385,245.6528,223.3428,253.9337,247.5576,243.4356
704,"VNM","Viet Nam",452.4411,440.7966,431.4064,411.0972,388.9686,437.135,386.8684,352.5209,355.441,354.8956
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
887,"YEM","Yemen",849.0621,797.0362,817.7427,814.5539,828.681,789.2125,853.3988,821.5333,748.1739,736.8368
894,"ZMB","Zambia",6.421,3.5979,2.6086,2.6584,2.2415,2.4258,3.0305,2.5614,2.382,18.3914
716,"ZWE","Zimbabwe",639.3644,482.6052,441.1306,348.3631,372.1905,558.2435,645.2926,602.6428,700.6917,674.6229
