"code","iso","country","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,23378628008.9566,25352757518.2174,25620370017.4831,28483515603.8497,30065529260.2352,34196594611.8752,35431559620.9183,42879503310.6483,46495656381.9102,49338254430.557,56460103813.5996,57566226632.6841,58321801149.6039,58812123337.7274,NA
8,"ALB","Albania",12803236635.1813,13956661343.9337,15840974389.425,16897032037.7935,18238712381.9377,19010459970.624,20108027084.2809,21256106268.0238,22472129836.5441,23692594069.5631,25090457121.7218,26979768540.3481,27883590788.8437,28918072005.3812,29655482843.0915,30076590698.9138,30410440853.4357,30957828788.2172,31824647994.4531,NA
12,"DZA","Algeria",282761506464.142,297182353497.983,306692193424.73,318406849179.433,327985786401.807,346383569171.663,371329671295.825,387302878537.758,410183924183.221,417093424469.858,431161464955.46,441337456994.146,448541160440.946,464841798178.117,478284400071.981,494425392067.335,508109301381.061,527362178700.557,547209280037.938,NA
16,"ASM","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",50789266063.2324,54245354799.5022,56002795625.6121,57689642487.7707,60124702190.7584,55951770351.3937,58887836445.9306,65294584235.9224,77218322300.7962,93229637862.261,114293060567.375,130085099395.258,133223883333.083,137763693380.123,143162097316.44,150542734126.265,160800092436.219,168525688985.459,173593223666.649,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1313630693.13452,1371531251.06693,1428060345.57257,1500059853.6245,1452144313.3616,1494608664.21308,1582994311.85634,1666678042.1096,1768065874.63781,2004569441.56413,2194982379.88446,2196543254.2552,1932166977.42596,1794152457.65239,1761975488.69485,1829590748.19478,1825929871.54892,1909973652.64697,1988798233.49736,NA
32,"ARG","Argentina",554687591823.056,576044056175.667,556542332118.722,552151219022.903,527807756970.741,470305820963.441,511866938226.858,558086338623.306,607486243374.952,656371581743.213,715495242296.696,744524552113.103,700459679766.917,771384011298.036,817697534675.125,809304519853.15,828770913979.822,807947088975.413,829335641342.87,NA
51,"ARM","Armenia",7648432625.56006,8206768207.22595,8477591558.06441,8977769459.99019,9835742701.57703,11132713293.7678,12695834751.5139,14024814656.6168,15969454960.225,18077104187.2779,20562561750.2571,21981378511.3708,18871015949.0773,19286178299.7958,20192628679.6198,21646497945.2151,22360832377.7968,23165822343.3975,23860797013.6994,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3671232222.36581,NA,NA,NA,NA,NA
36,"AUS","Australia",592605212784.863,618906474696.507,649895718226.32,675037958852.29,688062052105.557,714598449899.921,736542329963.106,767104228441.761,791702517121.056,815317976252.411,845954836306.757,877311840045.512,893276092878.632,911304031483.534,932989069866.557,966881953234.219,990474347265.362,1015234732343.37,1037976280455.57,NA
40,"AUT","Austria",280405479836.61,290387822157.043,300812709402.453,310945307913.316,315144674296.455,320363012962.194,322785458951.728,331519204194.791,338615978101.225,349962428477.397,362636354303.012,368247295481.329,354257304362.332,361089769540.968,371229170024.562,373997634205.319,374462227326.591,376876927646.277,380506472551.616,NA
31,"AZE","Azerbaijan",27343029882.1875,30077332946.4722,32303055759.463,35888694707.6342,39441675483.6899,43622492770.0479,48508212063.743,53456049887.4524,67568447489.7946,90879561542.8867,113643982480.432,125886190467.364,137732903988.907,144418926509.107,144514131462.76,147693442627.257,156254756508.811,159379851638.987,161133030007.016,NA
44,"BHS","Bahamas",6589054572.66598,6899825606.88833,7392758113.34085,7699501863.20183,7901662072.30342,8115372756.69145,8012734015.64502,8083477180.86788,8357934889.03373,8568292730.11129,8692234987.92507,8490232901.36651,8135743673.15397,8260934776.35865,8311566260.03648,8568115783.45599,8568998903.23715,8524058540.3123,8382248542.70196,NA
48,"BHR","Bahrain",25953426454.9482,27196596305.8658,28366049664.2761,29869448819.7681,30613506815.652,31719924348.4593,33630717110.6169,35978459642.4092,38413819883.7693,40898643818.1826,44290140880.7705,47056117021.3547,48251235326.6764,50342640290.6554,51341141014.8994,53255194421.3703,56139942993.7443,58582302008.6935,60259487465.9265,NA
50,"BGD","Bangladesh",186385341419.141,196034560632.586,205189681149.996,216050975705.134,227020505484.482,235722482829.044,246894708777.71,259830838298.284,276813238827.961,295281853462.91,316124725281.398,335135801636.774,352043821059.316,371659006686.465,395684471605.039,421488777535.966,446835410086.698,473918520089.175,504972662927.365,NA
52,"BRB","Barbados",3584266904.65739,3718334903.38122,3730451836.21048,3896571076.61173,3804326039.58892,3834422937.26161,3917677991.86271,3972790492.79583,4130310619.5763,4364441031.34181,4441442185.1278,4459031281.17029,4279231632.736,4290175959.16243,4322618069.64079,4335516740.07195,4332389789.6644,4340988903.28517,4379294045.77769,NA
112,"BLR","Belarus",61585847345.4544,66759058522.4725,69028866512.2365,73032540769.9463,76483551805.4746,80342351448.0742,86001018060.3157,95847913542.8299,104857617415.856,115343379157.442,125262909765.141,138039726561.309,138315806014.492,149022529944.618,157283909016.623,160007108813.136,161724946415.46,164511606330.176,158115891074.683,NA
56,"BEL","Belgium",348932173215.655,355825368783.421,368503759737.252,381894601787.308,384994226724.687,391848098755.09,394882955332.968,409236068909.114,417807456931.269,428249029019.709,442798760773.129,446107725869.705,435913661112.36,447662164658.545,455704997289.374,456329548547.955,456023055788.2,463561620993.921,470516115211.729,NA
84,"BLZ","Belize",1350135251.83253,1400643225.67656,1523624903.64829,1722286730.5402,1808670828.82158,1901248720.32149,2078569401.98954,2175232607.59889,2231326245.11524,2333578115.717,2359348070.95975,2435519504.93029,2454976338.60754,2536529449.97818,2589828754.99832,2686698948.19999,2721990332.68905,2833142669.76019,2862715042.83907,NA
204,"BEN","Benin",9869516848.91402,10260449609.263,10808506330.4841,11441883947.698,12051783371.8559,12611524838.1216,13045871409.6567,13623755116.011,13856936260.6803,14403871439.8246,15266161439.334,16013194854.7505,16384577181.2719,16731414124.1439,17227124154.8024,18055797650.6181,19354568602.8494,20585039357.0999,21016184356.8545,NA
60,"BMU","Bermuda",2692970077.33757,2797995910.35374,2892642283.03342,3162154264.8163,3390538833.08688,3340433776.56587,3454366158.62813,3534551202.2428,3593726911.16702,3792958312.94401,3900901738.61185,3960503378.69618,3751223364.15495,3672668487.99025,3550019929.12843,3378392789.57695,3293556129.34525,NA,NA,NA
64,"BTN","Bhutan",1659196959.50421,1757322379.29636,1897626506.3928,2029189412.06141,2195659522.64461,2431206376.61147,2617542154.5688,2771883124.6013,2969312153.57852,3172691208.63935,3741422280.73992,3919826548.16105,4180778173.88848,4671219172.59607,5039821055.27253,5295426154.38932,5408880477.24548,5719645280.13305,6090928651.54039,NA
68,"BOL","Bolivia",34032255779.771,35743858654.2112,35896443976.2768,36796658878.3586,37416240699.3979,38346245958.6093,39385943001.2816,41029634823.3041,42843732689.2195,44898950326.6641,46948266347.7921,49835212749.9105,51507469046.6907,53633999691.8087,56423836722.3622,59314074967.5846,63346582769.8595,66804663950.5043,70043837564.7398,NA
70,"BIH","Bosnia and Herzegovina",17830246349.6296,20611764131.7866,22590493446.2018,23832970684.1993,24881621276.7271,26200347270.8874,27248361178.8457,28910511148.3996,31442560317.2824,33133691073.4461,35031839744.3309,36952112796.7628,35891631029.6309,36167011089.6132,36495497234.9909,36154925783.4049,37020544116.613,37421060376.4463,38556724717.0641,NA
72,"BWA","Botswana",15972033644.7243,16087350634.3742,17642553549.1303,17993233854.6345,18038320196.4525,19133161608.7818,20018241535.1712,20559899465.9221,21496741232.0871,23294700952.7663,25222748318.6472,26798019287.2298,24747351726.8781,26866623791.8741,28491602186.8884,29761235623.3402,32695694859.8627,33743572317.2544,33657545969.2883,NA
76,"BRA","Brazil",1899052599714.69,1905478161533.41,1914416122921.14,1993147728618.01,2020849834473.26,2082552517871.61,2106314588150.41,2227635696680.94,2298967603741.76,2390050462304.47,2535123486323.38,2664271353689.57,2660917753768.96,2861237591078.04,2974955344832.28,3032108708886.12,3123219493122.47,3138959326013.66,3020644017826.66,NA
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",25942285018.5715,25797395100.3918,26584772020.3639,27342284298.9552,28092567740.198,29180339282.9184,30027723243.4145,30179158572.138,30296104896.6712,31628442809.177,31677334517.9262,31062884664.7256,30514768967.7201,31307837411.1498,32480415591.3426,32776910359.7628,32080063898.3911,31326263639.6957,31148701800.9807,NA
100,"BGR","Bulgaria",71342063674.4196,73839035783.6031,69696665893.4968,73189130579.7899,76298223332.2755,80889943697.9166,84997148584.1066,90569193222.4061,97122954826.2434,103681798028.239,111639739620.16,117944041706.587,112967125135.167,113028757652.767,115193278718.973,115228923675.119,116222303857.753,117766723619.864,122026867286.999,NA
854,"BFA","Burkina Faso",10637442647.8716,11414797132.7147,12251759843.4769,12483130235.2803,13308689515.0954,13888017345.0156,14971621550.9076,15642121781.7444,16997020722.5437,18059871386.6493,18802381624.0919,19892920710.6491,20482124801.1665,22212111666.3792,23684080409.0061,25212337086.3571,26651647387.1302,27725798562.9134,28840666622.1898,NA
108,"BDI","Burundi",4695119716.14871,4918137902.2932,4868464709.66697,4826748585.33385,4925977225.89982,5145011759.82077,5082050812.40968,5327699755.95462,5375649053.9108,5665109338.39415,5936231951.16376,6235899991.3093,6452187532.08544,6696461063.94965,6977151645.62124,7257588873.80706,7591006441.60571,7944817041.22709,7634578343.05208,NA
116,"KHM","Cambodia",13082038149.0505,13737321724.289,15373403487.2204,16721262254.0662,18065308983.7304,19273495323.3548,20912879328.6811,23075381623.2818,26132889430.9912,28947685729.7313,31903988921.579,34038869057.7897,34068379722.2329,36099903974.4308,38652011936.303,41458659269.4694,44559768497.1978,47710823823.1125,51067798981.2672,NA
120,"CMR","Cameroon",33671005670.8961,35319322454.5225,36754091816.2206,38288053620.6337,40016480154.9579,41620758680.2332,43298488680.5562,44901335539.0081,45932653146.749,47413523255.0789,48957148496.5673,50369095293.9879,51342150958.969,53020345598.1617,55215701705.029,57749405977.9266,60961247834.4815,64574399632.3341,68302439596.7994,NA
124,"CAN","Canada",1002346603446.63,1041255284378.71,1095017490719.34,1151768855838.72,1172164598599.54,1207446944169.26,1229208438201.3,1267141333783.16,1307707370087.6,1342013930307.11,1369696291657.46,1383398198807.27,1342593656484.99,1383992722798.01,1427466965184.4,1452383005413.25,1488329511798.84,1526509617960.04,1540884390487.23,NA
132,"CPV","Cape Verde",1166700264.28027,1312739469.24617,1460063606.02264,1668631777.00853,1705869873.02925,1795443244.86261,1870425610.38387,2061154267.97472,2203630690.81878,2379563065.94825,2740559154.5434,2922820602.93138,2885688330.37981,2928015320.39182,3044224922.25246,3077160948.5383,3101406077.22612,3159241348.0031,3205197584.65239,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2823463451.74062,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",2908920229.41657,3045643621.88467,3155286027.94762,3076737313.98399,3214105605.58152,3330345090.88693,3150590206.87931,3339464442.28002,3369793809.48522,3530569550.96547,3693241773.58928,3769105796.36228,3833528830.87626,3950322451.72992,4080711501.63792,4248542917.29711,2689329687.33301,2717299201.42758,2847726467.58028,NA
148,"TCD","Chad",7869631797.74639,8416695541.06809,8359222117.27662,8285687626.43615,9251644246.96025,10037220771.6753,11514866990.951,15387244429.6548,18054243761.3245,18171282565.5611,18765755998.1717,19338616642.4378,20154260616.3641,22885183257.3778,22904148162.6154,24938626546.7354,26360128599.7775,28178973531.0897,28686194919.728,NA
152,"CHL","Chile",210978698198.959,217795164038.794,216138059053.707,225855178776.475,233417217583.514,238475155424.315,247911017515.03,262887537119.115,277502644954.736,289726560679.895,304678843193.086,314710256686.816,311448499574.963,329368339640.845,348602266871.581,367625947882.791,382244947353.928,389417373951.819,398395652396.777,NA
156,"CHN","China",3709536979812.62,4000276166465.71,4306996788325.95,4672725786335.64,5062426937156.05,5524659216993.5,6079092084564.5,6693762669454.75,7456568865303.54,8405005577789.18,9601154535985.61,10528077778000.1,11517697419673.4,12742735895359.6,13957939641687.6,15054511965131.8,16222386076423.3,17406241622921.9,18610463976973.9,NA
170,"COL","Colombia",333682606687.265,335583877090.772,321475879742.457,335685091122.417,341317545585.573,349864070252.355,363572695817.874,382962107917.078,400986433731.574,427842561312.075,457366383419.6,473588276652.646,481409820261.487,500530458895.309,533512971123.156,555087935875.08,582143285892.64,607674407442.042,626410747173.606,NA
174,"COM","Comoros",701901087.237698,710904109.096025,724582783.3049,803186066.721811,821923887.585284,841031803.649804,858727970.255286,875212132.805405,900045469.815047,923868772.16678,931261134.00651,934988663.661623,953220942.395523,974191802.954097,999520790.689932,1029506414.13009,1065539138.56177,1087506713.99995,1098546194.92936,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",33621881299.569,35962535840.119,37380665894.702,38776659201.9744,40130146638.0437,41451132022.8744,43215075103.2104,45089129294.1267,46834472255.8079,50224226218.7171,54326488841.1258,56852452553.0517,56300671879.0411,59088604511.7345,61633610800.8975,64590125680.7348,65912751008.8682,67873822791.279,70418510709.2448,NA
384,"CIV","Cote d'Ivoire",47102330747.2584,49424795773.5775,50224255408.9174,49185416881.5209,49245114163.9515,48423881889.2812,47765541810.0138,48353904780.8949,49186195093.9312,49931780276.2247,50813094564.8564,52105191008.8138,53799367179.4931,54884843973.9869,52476906028.6953,58095348125.8286,63259688377.4398,68628124138.5448,74916780422.6237,NA
191,"HRV","Croatia",66553464825.6193,67792611081.3869,67158411210.0948,69688601781.2823,72081990163.1038,75863753417.3018,80080190305.828,83349712874.4883,86820262307.0082,90974716805.0156,95659919250.6538,97624167029.8086,90415810380.8887,88877611620.9277,88627632084.4396,86688965405.5743,85766663214.5733,85457530768.658,86862976650.3539,NA
192,"CUB","Cuba",111409748620.425,111587052834.846,118492902488.921,125501473310.448,129498732765.967,131343858243.677,136325389585.782,144192098091.199,160344001700.45,179690889238.641,192740287731.436,200675073944.315,203587482190.612,208453940246.556,214295446757.753,220756240801.34,226821744930.636,229197876526.544,239370442865.328,NA
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",17902745060.889,18840052901.2484,19749753967.4737,20880309226.7714,21632139219.356,22367438209.4651,22921226792.3935,23968796419.2643,24861470552.9399,25982768450.8513,27235322508.418,28287686126.0066,27786300820.9255,28152462525.7573,28242887109.2981,27351039525.7463,25722901091.9368,25328967302.9463,25754309996.6402,NA
203,"CZE","Czech Republic",205541395449.856,204891817492.446,207838264733.668,216763122604.718,223377695424.752,227056613576.065,235234835285.616,246872975862.812,262777180514.75,280847169663.662,296375957679.086,304410578215.636,289671671600.137,296319896260.816,302260233093.211,299842621904.544,298392369974.709,306494069347.29,320395502316.071,NA
180,"COD","Dem. Rep. Congo",28417996160.316,27956444126.23,26762664590.6628,24913116292.8378,24389897744.7965,25108854658.8327,26509381956.1412,28295683239.7376,30031666176.9741,31629645445.5134,33609493564.9503,35701987120.9681,36721300312.6956,39320760556.9558,42019985292.7179,45027716855.6637,48856650251.9112,53238837472.4915,56920935460.1911,NA
208,"DNK","Denmark",207069575833.124,211662714245.895,217902546087.925,226067137050.018,227928007106.851,228990937808.589,229884171610.316,236017926041.457,241532873111.239,250984006496.37,253266086094.534,251969299855.45,239606361759.484,244089379149.77,247352304134.257,247912479127.463,250226368470.189,254419998057.199,258506202362.789,NA
262,"DJI","Djibouti",1489062137.72724,1490541946.32815,1523020947.42837,1529359973.13739,1560677662.41147,1601544979.1486,1652793767.69241,1716037526.19809,1770429071.68959,1855407271.43429,1950034181.26287,2063135434.82544,2166965346.95801,2242525640.6271,2342710799.37195,2456153748.56462,2578959158.02198,2733701719.03921,2911406226.39905,NA
212,"DMA","Dominica",536882353.259234,563608824.723744,567459934.526296,569589673.821256,572284419.84921,562251356.857741,605472816.531616,625151556.380337,624599907.789902,642898733.213434,683536398.737506,732209261.493306,723644191.273398,728511007.879125,726828064.904923,719052528.005956,724593839.316794,754932315.931655,741629313.833086,NA
214,"DOM","Dominican Republic",56516026765.2304,60478138053.8558,64539459171.9129,68190201366.9715,69423918598.275,73442318933.8205,73256246348.6454,74217337694.2099,81091904196.7683,89745346856.8577,97562538220.1724,100693812042.054,101646531748.335,110100542636.657,113515770428.131,116687299312.195,122220685949.163,131520414964.851,140780683458.026,NA
218,"ECU","Ecuador",93814610781.1521,96879092627.3289,92287618677.0392,93295216341.4635,97041606943.7538,101017184846.402,103767758879.014,112288151266.025,118229663496.819,123435937981.532,126139263988.069,134158101737.554,134918096104.018,139674361950.133,150664137576.237,159164551066.427,167037643517.848,173706969723.433,173980981566.9,NA
818,"EGY","Egypt",443959823974.579,461879672095.042,490079552567.95,516387052191.633,534642499847.67,547316142070.947,564794435315.826,587905367149.307,614192689969.376,656221653669.981,702734749195.364,752994697089.094,788275850890.055,828786340781.442,843842460027.439,862355337097.102,880522789267.021,900147802069.485,937954009756.403,NA
222,"SLV","El Salvador",34058045964.2737,35334788843.2664,36553520492.4174,37340390763.8587,37978514292.1164,38867523993.8771,39761491920.4106,40497292476.6922,41940135885.5732,43580812462.8884,45254213323.704,45830854864.7791,44394952970.58,45000848037.8146,45998442862.0993,46863653084.9507,47729359130.2793,48409627569.1056,49598114047.1427,NA
226,"GNQ","Equatorial Guinea",3605936325.79047,4463229020.45053,5608672805.47491,6630224128.65438,10832451921.842,12940754061.1474,14746668683.529,20350215036.9422,23758611626.0227,25589193076.1019,29499762713.0689,34750457672.4565,35217280130.7294,32074428108.711,34166939303.2501,37007193180.7025,35477614647.9406,35237330814.189,32317928930.7389,NA
232,"ERI","Eritrea",6049391563,6526818083,6655540946,6667688741,5844391904,6356172914,6546359151,6372328986,6465688297,6402631325,6493506315,5858510177,6086062390,6218797752,6.759e+09,7233750590,7330402936,7444494824,7456353526,NA
233,"EST","Estonia",19220214254.9944,20011563798.2483,19840175370.8315,21936895715.7011,23325224277.1421,24742542789.8712,26577489429.8159,28250470919.6256,30898597009.3656,34072472016.9665,36712471044.4219,34722842748.1363,29610118152.3968,30279026815.5118,32579417513.6826,33982703984.6952,34463620323.5236,35436501690.9189,35948280291.587,NA
231,"ETH","Ethiopia",38198225460.6532,36877277672.0082,38780936521.4459,41136187141.9482,44551028045.6176,45225853914.0142,44248360523.8487,50254014899.7144,56193419293.8149,62281822906.6602,69416932546.6472,76905993365.0393,83675684346.8224,94177433193.7438,104704865663.231,113759545218.877,125797887490.473,138728887617.939,152057290468.435,NA
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",4997176175.26063,5062139582.34125,5507607798.36298,5413978507.32582,5522258015.04976,5698970304.18316,5755959948.40373,6061025882.92983,6103453062.18964,6216518460.21988,6163637421.43783,6227295116.44708,6140982470.69355,6322428431.25385,6493459066.2236,6615761890.80662,7018032870.56697,7400267892.60848,7811978896.46123,NA
246,"FIN","Finland",155248821218.703,163676522988.61,170950527443.851,180583328884.027,185243809125.451,188356507325.911,192112306108.705,199654745087.655,205205057218.311,213526527453.303,224597452575.821,226216055640.06,207510167298.505,213719571855.46,219213912532.236,216087507036.948,214449485305.036,213094747666.23,213667027225.287,NA
250,"FRA","France",1910947305793.69,1978904437812.86,2046327674070.07,2125626191792.01,2167170480666.48,2191409348259.14,2209368641878.62,2270931022411.92,2307441094169.19,2362241594894.93,2418025903541.57,2422748181561.9,2351486894647.41,2397709070209.19,2447562936718.01,2452034463695.08,2466164105017.59,2481864239716.28,2513487665544.48,NA
254,"GUF","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",23677701100.2219,24501172141.7596,22312574852.1937,21892436565.2856,22359891187.7121,22304207642.2044,22805456794.376,22962710238.6528,23858417931.9814,22991250942.6152,24292314885.7641,23488620494.7835,23519233476.9038,25186720627.6625,26972900729.6627,28389268493.8593,29989972997.37,31284003482.1141,32539376597.2529,NA
270,"GMB","Gambia",1654514583.60982,1712422569.42889,1822017602.16446,1922228573.45655,2033717835.24994,1967621999.35537,2102797626.8322,2251044858.14457,2229847310.95309,2254913017.92387,2336789485.34106,2470795995.35312,2630154822.31586,2801762761.47413,2680483729.05378,2837619858.71151,2973283849.90826,2999373245.35763,3140820062.37969,NA
268,"GEO","Georgia",13367877781.5643,13782937476.5739,14178405300.6579,14439052849.9858,15132914623.5531,15961265867.5446,17726278946.6513,18764565560.9526,20565896453.2651,22495651340.3542,25272514514.7928,25857332487.2569,24881017906.0395,26436835078.206,28345977228.4492,30146083394.3267,31167144420.4853,32608104952.8576,33512956418.2916,NA
276,"DEU","Germany",2822448889452.94,2878322607197.76,2935518761678.6,3022470159181.13,3073715277871.83,3073715277871.83,3051894783408.17,3087601049405.82,3109421556683.66,3224475116048.83,3329610265344.83,3365647150137.13,3176536134047.86,3306136689722.13,3427141297691.63,3444002587120.7,3460863889363.96,3516076369519.48,3576578673504.23,NA
288,"GHA","Ghana",37744294161.2169,39518423483.5185,41257232875.8817,42783750539.5858,44495100561.1693,46497379952.6225,48915243702.691,51654497345.0631,54702114730.2629,58203002164.1021,60732981409.8618,66289927192.524,69502175404.3601,74992666759.0686,85526138706.1051,93473665296.567,100308950459.436,104307130433.746,108393071923.689,NA
