"code","iso","country","PBD.raw.2000","PBD.raw.2005","PBD.raw.2010","PBD.raw.2016"
4,"AFG","Afghanistan",1658.71778175,1580.93251264,1417.28845319,1226.39802553
8,"ALB","Albania",93.7554166329,100.169203684,92.5546783905,83.1542308855
12,"DZA","Algeria",345.641648964,298.930593389,257.980727171,227.799977126
16,"ASM","American Samoa",38.4780494192,37.2415573114,34.5727784882,32.223276291
20,"AND","Andorra",53.2385962739,49.4464322373,44.0049699772,38.4110135303
24,"AGO","Angola",248.531296417,243.756430908,218.309618064,193.069480171
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",193.169461558,167.771194027,144.36658304,124.163628829
32,"ARG","Argentina",146.938587627,127.961154619,111.584806932,93.2994680918
51,"ARM","Armenia",87.1755185593,88.0525914486,82.4211555878,66.2144328485
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia",134.364938134,105.414750513,81.9849485356,68.0093526736
40,"AUT","Austria",50.1208367856,41.1398498366,35.0394677317,29.3650050239
31,"AZE","Azerbaijan",113.230369591,115.109961178,107.609708937,82.5380241812
44,"BHS","Bahamas",209.136427827,184.28987929,163.003650705,150.5678922
48,"BHR","Bahrain",347.697341397,267.21729273,195.014303629,157.338909931
50,"BGD","Bangladesh",520.066599971,574.765684202,557.864419842,492.449927042
52,"BRB","Barbados",140.507582887,115.941211792,100.948181247,90.2004901428
112,"BLR","Belarus",74.317965336,81.6424941313,74.9780836405,57.688564527
56,"BEL","Belgium",181.524817884,146.032843165,118.280943805,97.449391282
84,"BLZ","Belize",203.299441604,173.33047312,151.603314395,134.549990495
204,"BEN","Benin",292.733666046,297.147694745,293.440849401,277.7938744
60,"BMU","Bermuda",272.817545824,193.806954988,144.370952149,107.149385542
64,"BTN","Bhutan",356.865712082,332.441427104,303.645103283,277.276877712
68,"BOL","Bolivia",236.488185755,208.65448212,192.177544573,170.109273857
70,"BIH","Bosnia and Herzegovina",106.727512754,101.435347608,90.4754687997,81.6424109792
72,"BWA","Botswana",205.641794645,194.070121929,158.280608713,135.614292171
76,"BRA","Brazil",255.075980671,213.339964563,174.751427002,137.932085572
92,"VGB","British Virgin Islands",NA,NA,NA,NA
96,"BRN","Brunei Darussalam",78.4963395697,65.2540855144,53.1405698401,44.349641654
100,"BGR","Bulgaria",75.8971559536,73.2796051236,64.2671670883,54.8706975647
854,"BFA","Burkina Faso",279.649312433,295.137315322,296.301888162,282.44686916
108,"BDI","Burundi",383.352113005,339.573853093,309.160333338,293.853197613
116,"KHM","Cambodia",261.789914543,244.149161776,217.810655595,194.800829737
120,"CMR","Cameroon",171.662581416,177.700049739,168.629356039,156.058127746
124,"CAN","Canada",35.0544024547,27.6326821835,33.8142056933,28.9245679433
132,"CPV","Cape Verde",148.405463683,145.131669754,135.113478658,117.744645796
136,"CYM","Cayman Islands",NA,NA,NA,NA
140,"CAF","Central African Republic",353.623077465,361.865220759,349.641423294,336.801597677
148,"TCD","Chad",254.483428954,255.936402536,253.731501425,235.765583721
152,"CHL","Chile",29.8785307971,28.1051485847,26.3400833648,23.4700143393
156,"CHN","China",298.448480613,269.60803877,241.274425979,208.326290167
170,"COL","Colombia",152.37528495,131.736450787,112.808029508,92.1327395322
174,"COM","Comoros",213.768867718,190.612508799,178.323237673,165.241967376
184,"COK","Cook Islands",NA,NA,NA,NA
188,"CRI","Costa Rica",174.651041633,150.129310578,130.665188228,113.594606887
384,"CIV","Cote d'Ivoire",283.319634925,285.555182697,268.608448575,246.88180006
191,"HRV","Croatia",42.2313908567,41.4421332611,37.3809803722,33.1075886074
192,"CUB","Cuba",227.489559542,200.386149835,176.924464162,154.96663578
531,"CUW","Curacao",NA,NA,NA,NA
196,"CYP","Cyprus",130.787362767,110.18562406,84.9799177893,69.9692846922
203,"CZE","Czech Republic",33.4811666419,30.8625729072,26.4812035561,22.0718776038
180,"COD","Dem. Rep. Congo",188.039126566,197.482630114,203.125936633,190.305445324
208,"DNK","Denmark",58.8839613192,49.8509989127,40.1753167758,32.5399544476
262,"DJI","Djibouti",280.783413738,276.414301777,261.260323848,228.86857017
212,"DMA","Dominica",247.845011287,230.523541804,214.349520486,192.38716576
214,"DOM","Dominican Republic",370.022474266,340.0689723,323.745548091,286.998969639
218,"ECU","Ecuador",133.994946851,122.386654874,109.612267666,92.9672480639
818,"EGY","Egypt",447.825276057,457.369664984,457.616841066,404.750256875
222,"SLV","El Salvador",295.926154982,279.185285401,260.723369149,225.68866847
226,"GNQ","Equatorial Guinea",200.939374202,140.71745414,117.908873331,97.6337863257
232,"ERI","Eritrea",257.506381262,247.565933398,238.916359185,220.681233281
233,"EST","Estonia",41.6314684894,41.1705806071,36.5684545109,31.9243433391
231,"ETH","Ethiopia",341.620875838,322.966636434,286.718804491,258.063378552
234,"FRO","Faeroe Islands",NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA
242,"FJI","Fiji",58.6284938654,55.5527484381,51.7154923491,44.6409187698
246,"FIN","Finland",26.706980402,23.8328476402,21.2546523625,17.952695196
250,"FRA","France",71.9406556266,59.2446146864,48.1480407482,39.1530639274
254,"GUF","French Guiana",NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA
266,"GAB","Gabon",146.587672849,135.684915004,117.74728201,99.6693606967
270,"GMB","Gambia",218.71542971,225.694524291,221.419951337,207.357867692
268,"GEO","Georgia",75.0276212044,81.7954231447,78.1582146131,68.1471398984
276,"DEU","Germany",33.201376703,28.9088246465,24.8212251584,21.1163745019
288,"GHA","Ghana",177.173791821,171.551227903,162.277393659,141.668381062
292,"GIB","Gibraltar",NA,NA,NA,NA
300,"GRC","Greece",146.139267108,129.116206663,109.047851413,89.9520688937
304,"GRL","Greenland",336.132793086,304.727308807,232.29618306,186.50263077
308,"GRD","Grenada",381.46659038,361.813239946,326.671305193,286.735456145
312,"GLP","Guadeloupe",NA,NA,NA,NA
316,"GUM","Guam",21.6459367559,21.8598152109,21.7008833002,20.3608080259
320,"GTM","Guatemala",299.379285509,271.012902833,262.779221229,237.924485306
324,"GIN","Guinea",229.163462756,244.583468624,254.216469594,245.612850839
624,"GNB","Guinea-Bissau",346.268448553,360.619742368,357.893764173,332.410805957
328,"GUY","Guyana",574.455530008,586.634668888,548.643504163,443.101312449
332,"HTI","Haiti",974.249879145,889.791275838,823.250350825,746.255548464
336,"VAT","Holy See",NA,NA,NA,NA
340,"HND","Honduras",564.986901957,534.124573524,476.356548595,420.324312468
344,"HKG","Hong Kong",NA,NA,NA,NA
348,"HUN","Hungary",68.8683163653,65.5925655587,58.1571762871,51.4706032608
352,"ISL","Iceland",62.8356426821,50.471444192,41.2626910165,34.1511585844
356,"IND","India",523.925675696,509.908557654,501.577484273,456.572159088
360,"IDN","Indonesia",201.660644175,209.419388223,195.791805675,168.064017472
364,"IRN","Iran",590.406474076,574.319989482,475.124733393,387.582028363
368,"IRQ","Iraq",284.659277062,275.482575397,259.422185498,231.991898631
372,"IRL","Ireland",126.64118718,91.5013300763,69.3860915501,56.8722950978
833,"IMN","Isle of Man",NA,NA,NA,NA
376,"ISR","Israel",60.3735352532,50.1130738241,40.2151501719,34.2495412431
380,"ITA","Italy",113.455148273,95.1697234153,77.1518587629,63.4231694105
388,"JAM","Jamaica",229.09625408,202.71024141,211.297884151,195.655683817
392,"JPN","Japan",25.0443629499,20.9001843595,16.4647995328,12.9311519042
400,"JOR","Jordan",548.657251872,522.657356107,405.810068165,324.905602874
398,"KAZ","Kazakhstan",108.872926541,114.425643078,91.2714563665,70.1362862892
404,"KEN","Kenya",256.930105488,254.240627864,235.401011196,213.465640206
296,"KIR","Kiribati",215.179516433,214.288304453,207.803202315,192.167875295
689,"XKX","Kosovo",NA,NA,NA,NA
414,"KWT","Kuwait",392.270130236,343.361730161,273.180905051,200.928271148
417,"KGZ","Kyrgyzstan",133.881725039,150.867640216,140.122454033,116.572364931
418,"LAO","Laos",335.290100279,323.602880308,291.330956016,244.419763822
428,"LVA","Latvia",51.3227588278,54.6225987812,46.9099302853,39.8968441131
422,"LBN","Lebanon",125.48884658,108.091230646,87.7607561039,74.4053153419
426,"LSO","Lesotho",284.082528061,315.017023802,310.394816174,279.53806913
430,"LBR","Liberia",242.358864641,249.38823978,258.908651311,245.337894916
434,"LBY","Libya",174.573634568,165.958653507,147.440979359,135.477422379
438,"LIE","Liechtenstein",NA,NA,NA,NA
440,"LTU","Lithuania",41.8170933461,46.0521963508,41.8651874782,34.6194936303
442,"LUX","Luxembourg",65.3674487958,52.2895998099,40.3006896381,32.2467552762
446,"MAC","Macao",NA,NA,NA,NA
807,"MKD","Macedonia",75.9575458768,76.3916140767,70.6181124106,63.7126557652
450,"MDG","Madagascar",336.978324798,324.327581959,305.500949853,279.321987094
454,"MWI","Malawi",280.61603919,261.972470572,245.740407769,220.212339642
458,"MYS","Malaysia",184.743209816,168.621698563,149.20563972,117.982034898
462,"MDV","Maldives",185.906270754,153.244252437,128.275712822,105.729054287
466,"MLI","Mali",279.348118111,267.257030158,255.960437348,242.158976677
470,"MLT","Malta",256.534101826,197.858451689,168.261845367,140.250439813
584,"MHL","Marshall Islands",92.0416663173,96.6245963112,93.3389305204,83.976236279
474,"MTQ","Martinique",NA,NA,NA,NA
478,"MRT","Mauritania",157.752501878,149.228905513,136.773437262,127.835180528
480,"MUS","Mauritius",132.893446109,113.635364097,89.8006556675,73.1308773527
175,"MYT","Mayotte",NA,NA,NA,NA
484,"MEX","Mexico",227.42927434,225.17603916,217.231097725,190.39586202
583,"FSM","Micronesia",200.245569351,182.27245614,170.479050337,147.328327871
498,"MDA","Moldova",99.2721373815,109.037323362,104.120866276,89.9401218811
492,"MCO","Monaco",NA,NA,NA,NA
496,"MNG","Mongolia",276.433104201,296.541897428,243.963479921,191.439824383
499,"MNE","Montenegro",54.2945562545,54.9620706848,49.0032669747,44.4029042292
500,"MSR","Montserrat",NA,NA,NA,NA
504,"MAR","Morocco",287.185168478,273.393695532,248.178413231,216.047302283
508,"MOZ","Mozambique",317.279587018,296.594889311,286.361848374,264.085658983
104,"MMR","Myanmar",231.094568684,212.439100428,184.560458628,155.066748493
516,"NAM","Namibia",251.56292331,229.174299184,181.321980615,154.564509157
520,"NRU","Nauru",NA,NA,NA,NA
524,"NPL","Nepal",484.022110538,487.259275017,469.574418231,429.502319167
528,"NLD","Netherlands",67.2187531598,50.548824973,38.4666710747,30.7919568304
530,"ANT","Netherlands Antilles",NA,NA,NA,NA
540,"NCL","New Caledonia",NA,NA,NA,NA
554,"NZL","New Zealand",106.759877717,85.3506383849,67.9729416608,59.2258560068
558,"NIC","Nicaragua",130.28588342,127.967356041,122.095806879,111.324913032
562,"NER","Niger",273.433650163,290.089687286,297.60140179,297.45521518
566,"NGA","Nigeria",115.367796071,111.436002139,97.7390305397,87.906229758
570,"NIU","Niue",NA,NA,NA,NA
574,"NFK","Norfolk Island",NA,NA,NA,NA
408,"PRK","North Korea",164.710327235,180.218377348,185.510873547,186.032811444
580,"MNP","Northern Mariana Islands",23.7859224499,23.3650501059,23.8626868954,23.7499232029
578,"NOR","Norway",46.5447099189,36.5493817722,30.0033780773,24.0919210687
512,"OMN","Oman",583.885955639,526.064852209,469.481683777,375.605233859
586,"PAK","Pakistan",652.862532216,648.423853447,605.241074711,547.273958606
585,"PLW","Palau",NA,NA,NA,NA
591,"PAN","Panama",166.818176471,158.855617244,145.943854176,119.39928524
598,"PNG","Papua New Guinea",137.614916042,140.629544114,132.461489297,114.365579844
600,"PRY","Paraguay",199.724280987,201.742800313,199.980886603,179.261125178
604,"PER","Peru",90.3895225914,78.3281561729,73.593061135,61.9384605188
608,"PHL","Philippines",244.563216165,256.065511311,242.059580153,215.529054173
612,"PCN","Pitcairn",NA,NA,NA,NA
616,"POL","Poland",111.539206323,101.584907404,85.8061128435,65.667607056
620,"PRT","Portugal",160.472640283,125.882693409,95.7915272857,77.1805008459
630,"PRI","Puerto Rico",29.5889448632,26.1026217003,22.1890819525,18.334782432
634,"QAT","Qatar",242.224771741,199.104443611,137.449821375,113.635169037
178,"COG","Republic of Congo",228.91676122,193.659746598,171.676887969,153.493973265
638,"REU","Reunion",NA,NA,NA,NA
642,"ROU","Romania",94.1039993418,92.8292763033,81.9427189933,68.2293397628
643,"RUS","Russia",46.5231081943,49.5013102295,41.3012753934,35.1679971266
646,"RWA","Rwanda",332.244658368,252.961577188,221.955500332,204.420104306
654,"SHN","Saint Helena",NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA
662,"LCA","Saint Lucia",299.762505758,289.594702151,232.425683086,198.253417596
666,"SPM","Saint Pierre and Miquelon",NA,NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",441.75086307,409.972515628,380.211678135,342.989288552
882,"WSM","Samoa",98.0496593171,94.3684191098,89.8560232236,83.5656256556
674,"SMR","San Marino",NA,NA,NA,NA
678,"STP","Sao Tome and Principe",186.086426543,184.715110784,169.476013853,156.533590826
682,"SAU","Saudi Arabia",268.548638211,252.007546126,219.523344021,172.236334118
686,"SEN","Senegal",209.119634229,215.453758819,209.753188971,194.187917283
688,"SRB","Serbia",98.3577531537,94.4362898871,79.6842218691,67.5279194875
690,"SYC","Seychelles",138.960907107,123.086817204,105.752169099,91.1446575244
694,"SLE","Sierra Leone",266.268060822,285.294321096,280.744831947,258.659312182
702,"SGP","Singapore",82.5670837469,67.5159030822,51.6300455491,41.1302386116
534,"SXM","Sint Maarten",NA,NA,NA,NA
703,"SVK","Slovakia",48.1346045165,47.6346177499,41.1320871601,33.8846237274
705,"SVN","Slovenia",32.5416791689,31.4000107503,27.3275855913,23.6040974805
90,"SLB","Solomon Islands",199.183220911,219.875311249,224.792045113,205.921863541
706,"SOM","Somalia",348.976694191,352.874466744,340.153350456,326.125735316
710,"ZAF","South Africa",161.710328774,156.687829194,145.743875565,118.849110915
410,"KOR","South Korea",65.5223581254,51.1338265905,36.324901543,28.9439751913
728,"SSD","South Sudan",295.368942425,287.794552279,278.804613762,279.765151769
724,"ESP","Spain",150.200750437,130.86237203,106.634767462,88.291771404
144,"LKA","Sri Lanka",103.742995516,98.5591336741,87.2773960956,72.5731891498
275,"PSE","State of Palestine",153.499349855,156.888644513,149.892558334,142.695981518
729,"SDN","Sudan",727.915005245,651.155794416,552.730756075,473.640556911
740,"SUR","Suriname",397.609435265,390.218657368,336.537003761,277.124328376
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA,NA
748,"SWZ","Swaziland",193.578864643,221.044186426,196.643472774,162.634818542
752,"SWE","Sweden",31.9757142877,27.7582657186,23.662866679,20.2672545061
756,"CHE","Switzerland",55.8813470001,47.5607913532,39.8723084035,33.1847296214
760,"SYR","Syria",657.45032431,566.874027676,459.536871097,400.291853892
158,"TWN","Taiwan",79.4246257084,66.1005008424,51.5302324743,42.3425479483
762,"TJK","Tajikistan",209.909406642,223.824845559,199.907359746,166.987844214
834,"TZA","Tanzania",221.450900123,210.13128292,197.593057953,178.958659762
764,"THA","Thailand",73.915282599,69.2299014108,59.8990303895,52.481107385
626,"TLS","Timor-Leste",242.727875612,242.533806227,198.672933414,185.423398982
768,"TGO","Togo",231.527780276,242.042267817,239.459328907,221.531116898
772,"TKL","Tokelau",NA,NA,NA,NA
776,"TON","Tonga",65.9028433077,65.7471948799,63.6437400999,59.7817967123
780,"TTO","Trinidad and Tobago",115.305818214,90.5709549994,74.232753231,63.1354826548
788,"TUN","Tunisia",323.47336078,292.751824905,256.913204711,224.268686471
792,"TUR","Turkey",177.662696997,140.710236889,119.180466545,96.1351112832
795,"TKM","Turkmenistan",163.968847524,163.837440161,142.928001114,118.648574674
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA
800,"UGA","Uganda",234.629415317,222.353254815,199.60446302,177.056220211
804,"UKR","Ukraine",41.0701158234,44.2893666419,37.1792541597,32.0575096385
784,"ARE","United Arab Emirates",443.834052634,354.034780851,323.189481295,282.147245175
826,"GBR","United Kingdom",49.4891839673,40.1272049505,32.1657471499,27.2720920324
840,"USA","United States of America",145.980598876,118.849044146,94.1948907723,76.9647220276
850,"VIR","United States Virgin Islands",148.047887037,134.403053635,121.838206505,101.332508437
858,"URY","Uruguay",157.27354725,142.059126319,123.370137749,104.290591916
860,"UZB","Uzbekistan",186.67161018,200.413270808,178.396054304,153.460151685
548,"VUT","Vanuatu",192.671214703,199.337697381,188.005394576,171.909030855
862,"VEN","Venezuela",279.030155627,257.272443538,237.39714617,213.783173069
704,"VNM","Viet Nam",149.572967379,138.282200023,120.795760345,102.787986442
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA
887,"YEM","Yemen",1035.25752187,933.649478278,807.785416189,744.95341485
894,"ZMB","Zambia",313.652935067,327.342570906,286.469579867,230.664159504
716,"ZWE","Zimbabwe",201.254921331,217.097943613,202.304380199,175.585081061
