"code","iso","country","UWD.raw.2000","UWD.raw.2005","UWD.raw.2010","UWD.raw.2016"
4,"AFG","Afghanistan",1778.65844188,1741.61965909,844.507477588,691.222678134
8,"ALB","Albania",68.8904696314,46.8258971672,41.099059109,40.0353847068
12,"DZA","Algeria",157.517062759,124.592001876,99.6824954288,81.4249853303
16,"ASM","American Samoa",131.582730972,129.365597209,133.74833036,133.041947221
20,"AND","Andorra",2.31211827174,2.47598412837,2.65618567254,2.67385199618
24,"AGO","Angola",10263.56816,6660.08237129,4099.04352193,2478.19024579
660,"AIA","Anguilla",NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",130.21407302,111.153252052,111.170368425,110.410835947
32,"ARG","Argentina",67.6867889582,46.903100966,39.0874149114,30.1362097033
51,"ARM","Armenia",220.977029375,100.234412185,59.5303282123,42.8943722014
533,"ABW","Aruba",NA,NA,NA,NA
36,"AUS","Australia",3.05152888562,3.76785187813,4.0487933775,4.27195000498
40,"AUT","Austria",5.52954931934,5.20335454641,4.58134666613,3.70484445587
31,"AZE","Azerbaijan",481.896689493,291.757352559,158.001153784,115.971590582
44,"BHS","Bahamas",103.721432664,90.9861575071,92.7233648212,97.5989128104
48,"BHR","Bahrain",87.0642842171,77.6102057981,68.3131730862,63.4353380798
50,"BGD","Bangladesh",1847.14324152,1249.06282228,839.293765556,585.368822672
52,"BRB","Barbados",97.1494130487,86.6118559782,86.3441848303,89.03241925
112,"BLR","Belarus",51.4493774032,32.079484652,26.8762403589,27.4347166393
56,"BEL","Belgium",3.95244713539,4.82805956241,5.10964197836,4.57871397193
84,"BLZ","Belize",306.208828133,225.269447975,196.515434407,177.330040334
204,"BEN","Benin",4090.4329422,3818.87687385,3854.86723984,2940.88147325
60,"BMU","Bermuda",74.6287364699,73.8612881775,77.865848177,81.4682749931
64,"BTN","Bhutan",1130.05067533,687.193118529,491.355165008,379.720311613
68,"BOL","Bolivia",819.094590617,595.439043643,333.823480926,193.990251172
70,"BIH","Bosnia and Herzegovina",39.3574677339,35.3403805626,32.647191247,33.0259576806
72,"BWA","Botswana",1906.0383527,1644.73953661,1436.65930339,959.571461406
76,"BRA","Brazil",437.043476393,287.63935334,186.909281448,143.232189543
92,"VGB","British Virgin Islands",NA,NA,NA,NA
96,"BRN","Brunei Darussalam",5.33687661362,5.10824570184,5.98195243909,6.57310281291
100,"BGR","Bulgaria",50.2352287052,46.1592874259,43.0108462602,39.4486182386
854,"BFA","Burkina Faso",5783.06182199,4626.90256668,3308.49229096,2528.59609125
108,"BDI","Burundi",6284.79050438,6585.00632552,5658.97126199,4492.36360783
116,"KHM","Cambodia",1473.23785105,949.042094042,570.929441445,348.303856317
120,"CMR","Cameroon",3949.8967503,3200.12310919,2781.65914423,1762.30271078
124,"CAN","Canada",2.18309010544,2.84145176928,3.56159607199,3.21966398911
132,"CPV","Cape Verde",565.538610871,385.58276141,300.491114176,236.910681033
136,"CYM","Cayman Islands",NA,NA,NA,NA
140,"CAF","Central African Republic",4646.70618618,5367.53340087,5588.73110916,5140.95503263
148,"TCD","Chad",7176.23370654,6501.61274581,5849.21431468,4620.84336542
152,"CHL","Chile",25.58944211,19.0851413382,16.8533001404,14.7047869177
156,"CHN","China",146.982955046,88.6364787662,45.1823328566,30.6689088024
170,"COL","Colombia",250.356974164,160.214455151,106.839298721,81.6989949494
174,"COM","Comoros",5077.13723752,3631.90171847,2777.02840634,2200.37194848
184,"COK","Cook Islands",NA,NA,NA,NA
188,"CRI","Costa Rica",113.583798601,87.2530864902,78.7297277387,74.0503705576
384,"CIV","Cote d'Ivoire",3057.58074087,2972.49073685,2751.68948597,2382.21832168
191,"HRV","Croatia",43.7704911894,44.7749416566,43.023571678,40.1354442617
192,"CUB","Cuba",107.126404283,88.4273431826,82.0435684519,77.7892342076
531,"CUW","Curacao",NA,NA,NA,NA
196,"CYP","Cyprus",8.64317605226,6.93861018105,6.29247965971,5.93513173044
203,"CZE","Czech Republic",36.6787749287,37.3970228014,41.3683627445,43.0764954202
180,"COD","Dem. Rep. Congo",3535.64999522,3384.87001019,2854.18910388,2267.79159037
208,"DNK","Denmark",3.10475330787,3.96377745888,4.62956668138,4.41485319008
262,"DJI","Djibouti",2555.24301041,2171.1021884,1720.33599269,1193.23465113
212,"DMA","Dominica",139.76466579,121.312769856,125.095396101,125.002932494
214,"DOM","Dominican Republic",533.469809699,401.125347989,326.407962362,268.13463795
218,"ECU","Ecuador",373.332723983,225.290933097,133.828125445,93.3301075504
818,"EGY","Egypt",896.967274485,702.240201095,622.578010749,402.479890515
222,"SLV","El Salvador",582.519337148,352.644240765,234.453079609,190.808590927
226,"GNQ","Equatorial Guinea",1323.65509893,991.219559948,628.517574871,500.370709842
232,"ERI","Eritrea",4474.80112392,3944.1789762,3610.12154303,2807.71468997
233,"EST","Estonia",72.7405335824,67.618512931,69.3083746133,64.9749455054
231,"ETH","Ethiopia",5105.41725371,4161.32178469,3262.16498504,2299.58415184
234,"FRO","Faeroe Islands",NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA
242,"FJI","Fiji",378.329334549,356.724750355,383.157738379,312.940477927
246,"FIN","Finland",4.07492732612,3.96084854905,3.71912218239,3.21723488165
250,"FRA","France",3.90357888315,3.61082626452,3.93267142775,3.7559729354
254,"GUF","French Guiana",NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA
266,"GAB","Gabon",1513.09635151,1440.91409568,1208.54662734,910.9684448
270,"GMB","Gambia",2169.39394075,2089.83406331,1741.63018944,1360.75593637
268,"GEO","Georgia",161.275838498,90.0627416371,62.1788261565,49.427070407
276,"DEU","Germany",3.37105311886,3.83830946655,4.5906396476,3.90852651349
288,"GHA","Ghana",1873.07859611,1456.63332566,1083.64068374,673.14401489
292,"GIB","Gibraltar",NA,NA,NA,NA
300,"GRC","Greece",2.13593857298,2.21314820479,2.31315736259,2.23255310848
304,"GRL","Greenland",9.42045868297,7.9913143924,7.61539982277,6.7902091813
308,"GRD","Grenada",156.611108942,144.853832625,148.797157493,149.824623496
312,"GLP","Guadeloupe",NA,NA,NA,NA
316,"GUM","Guam",85.1072053137,87.8078454655,94.0492694615,96.7350832893
320,"GTM","Guatemala",1631.77937981,1065.55015048,782.416579193,511.461416887
324,"GIN","Guinea",4108.23739394,3772.24413253,2608.07369822,1867.61758102
624,"GNB","Guinea-Bissau",4933.48658484,4834.07821957,2973.96664056,2234.2248435
328,"GUY","Guyana",923.832513563,590.463163539,477.740153381,332.43875092
332,"HTI","Haiti",2700.91726196,2415.19517678,3551.64737194,1506.11546113
336,"VAT","Holy See",NA,NA,NA,NA
340,"HND","Honduras",1058.89150676,754.651004525,526.884234427,397.555318036
344,"HKG","Hong Kong",NA,NA,NA,NA
348,"HUN","Hungary",35.3707668106,35.4116146552,40.3200585789,43.9715032114
352,"ISL","Iceland",2.44683432403,2.67277001067,2.9855336787,2.82563656352
356,"IND","India",3869.84580716,3066.61550619,2292.45116644,1542.79613391
360,"IDN","Indonesia",1300.74123407,989.465927807,786.164202463,546.132599978
364,"IRN","Iran",177.248021786,114.036481311,95.256383471,88.4353065079
368,"IRQ","Iraq",558.908573877,446.193711198,358.013043583,254.701726735
372,"IRL","Ireland",3.02907335556,2.546604003,2.81206023869,2.6062464456
833,"IMN","Isle of Man",NA,NA,NA,NA
376,"ISR","Israel",4.9372461328,4.77854374515,5.08260992641,5.06372344885
380,"ITA","Italy",3.1934689437,3.22038571323,3.55562872119,3.33387308903
388,"JAM","Jamaica",139.651357239,118.510729009,110.976565033,106.948650751
392,"JPN","Japan",4.04463117094,4.82346243961,5.65039191792,5.57421458647
400,"JOR","Jordan",92.487980789,81.2803440119,69.0940450672,53.3736436957
398,"KAZ","Kazakhstan",220.824483334,91.095428773,51.4320704205,38.0989040907
404,"KEN","Kenya",7201.77041616,6885.88671174,5920.66235884,4469.9160843
296,"KIR","Kiribati",1975.94498014,1470.51164767,1352.79693503,1073.79139086
689,"XKX","Kosovo",NA,NA,NA,NA
414,"KWT","Kuwait",56.55767975,55.2684589269,52.9198600255,50.419550087
417,"KGZ","Kyrgyzstan",462.062747731,270.854560099,205.773093713,144.169505987
418,"LAO","Laos",2144.54683316,1535.85521064,1023.0962692,576.75060703
428,"LVA","Latvia",71.7151573584,65.3713637297,63.521888253,53.5413372619
422,"LBN","Lebanon",126.066767155,118.588316377,104.614094706,91.1103795366
426,"LSO","Lesotho",6052.75043718,5752.337548,5228.26174991,3818.64312805
430,"LBR","Liberia",8233.66346929,6052.60900669,4942.29317362,3446.64441648
434,"LBY","Libya",132.994658645,107.166913465,92.6765318585,85.571450973
438,"LIE","Liechtenstein",NA,NA,NA,NA
440,"LTU","Lithuania",73.7696956148,71.2658095649,68.2863160456,63.0816281007
442,"LUX","Luxembourg",3.36100548163,4.04418549507,4.26563251209,3.77500837883
446,"MAC","Macao",NA,NA,NA,NA
807,"MKD","Macedonia",89.975122475,49.9092359281,34.4272610026,33.2687973854
450,"MDG","Madagascar",5190.95646624,4583.31437431,4467.24399405,3436.0894451
454,"MWI","Malawi",5698.8569384,4530.68189956,3494.43799072,2535.87237292
458,"MYS","Malaysia",88.4806721336,87.8637668353,89.7200965913,86.258601143
462,"MDV","Maldives",140.278829788,108.114584451,95.2925445276,86.3003876557
466,"MLI","Mali",9027.09285223,7121.41599385,5873.06397597,3904.0964299
470,"MLT","Malta",1.51151968524,1.43408093401,1.46427617186,1.37838153959
584,"MHL","Marshall Islands",700.84389434,281.065501076,233.347688348,192.247903062
474,"MTQ","Martinique",NA,NA,NA,NA
478,"MRT","Mauritania",4856.68009419,3109.12703739,2149.00227075,1560.92162167
480,"MUS","Mauritius",100.981979255,102.350528267,115.972434874,104.35279926
175,"MYT","Mayotte",NA,NA,NA,NA
484,"MEX","Mexico",253.988832788,156.78973376,99.3959998208,74.0131942611
583,"FSM","Micronesia",1005.13066457,231.610988466,209.762059836,187.697741546
498,"MDA","Moldova",115.007931166,66.9269184885,60.9438658705,46.7629338844
492,"MCO","Monaco",NA,NA,NA,NA
496,"MNG","Mongolia",78.0118338203,50.5127290284,50.2678876999,47.2225670649
499,"MNE","Montenegro",30.7775023825,26.5258108147,23.5138206449,22.5170795851
500,"MSR","Montserrat",NA,NA,NA,NA
504,"MAR","Morocco",880.698753539,640.556702336,452.051228448,280.905567285
508,"MOZ","Mozambique",3513.06944126,2660.67104828,2142.12307061,1448.86094865
104,"MMR","Myanmar",1827.3363631,1105.91887941,717.432718415,465.895573615
516,"NAM","Namibia",2593.18460206,2190.4997078,2189.68679695,1526.6691587
520,"NRU","Nauru",NA,NA,NA,NA
524,"NPL","Nepal",3430.27521508,2147.60963996,1596.45000224,874.813333651
528,"NLD","Netherlands",2.97306401302,3.38391691478,3.84337950538,4.03651427075
530,"ANT","Netherlands Antilles",NA,NA,NA,NA
540,"NCL","New Caledonia",NA,NA,NA,NA
554,"NZL","New Zealand",4.77707185297,5.51765617735,7.81688519131,7.31711929761
558,"NIC","Nicaragua",762.875563969,430.393644442,263.811817791,204.86747776
562,"NER","Niger",8974.75529543,7279.81707765,4973.94665338,3911.03581087
566,"NGA","Nigeria",4871.19413172,5464.65402393,4374.60622958,2911.91182262
570,"NIU","Niue",NA,NA,NA,NA
574,"NFK","Norfolk Island",NA,NA,NA,NA
408,"PRK","North Korea",439.151076621,272.797027281,209.688219135,188.847633269
580,"MNP","Northern Mariana Islands",93.6759498036,95.3813761754,103.083216838,107.244173019
578,"NOR","Norway",2.55191337909,3.3125621548,4.01464761428,3.58868260928
512,"OMN","Oman",102.236482833,90.5619400623,84.2152451601,73.6993848024
586,"PAK","Pakistan",1839.78104078,1682.27112492,1731.02938706,1250.94550157
585,"PLW","Palau",NA,NA,NA,NA
591,"PAN","Panama",228.839185578,242.258656695,235.020221214,193.890640424
598,"PNG","Papua New Guinea",2065.8182499,1889.36598974,1729.02109822,1200.19450202
600,"PRY","Paraguay",471.809925909,348.231615222,234.557273201,191.177647309
604,"PER","Peru",272.244745388,183.7828719,126.814565552,91.0022174628
608,"PHL","Philippines",489.95350107,474.885697136,405.232407093,292.373764582
612,"PCN","Pitcairn",NA,NA,NA,NA
616,"POL","Poland",40.2983014324,40.5714918535,41.6197522555,39.2778938276
620,"PRT","Portugal",4.43154543913,4.05461331328,3.98008046563,3.59520582451
630,"PRI","Puerto Rico",73.2854945738,80.1227947466,81.7436056599,77.1707496078
634,"QAT","Qatar",41.6931116137,36.0209217514,31.2793353761,30.2811507596
178,"COG","Republic of Congo",2840.59540129,3046.03298581,2870.92990693,2209.09979163
638,"REU","Reunion",NA,NA,NA,NA
642,"ROU","Romania",126.439081254,83.279993442,63.343980397,53.4470964254
643,"RUS","Russia",73.2120040518,50.42339918,40.5030808297,38.4938467335
646,"RWA","Rwanda",3744.78624532,3569.8686255,2181.59214309,1506.07910735
654,"SHN","Saint Helena",NA,NA,NA,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA
662,"LCA","Saint Lucia",184.346751369,155.178302511,159.944442121,166.566232298
666,"SPM","Saint Pierre and Miquelon",NA,NA,NA,NA
670,"VCT","Saint Vincent and the Grenadines",222.886358615,168.835021622,157.639415182,159.835472295
882,"WSM","Samoa",181.182511063,160.755769872,160.627718581,155.720786004
674,"SMR","San Marino",NA,NA,NA,NA
678,"STP","Sao Tome and Principe",2363.75765419,2044.43496522,1010.93726535,614.913936657
682,"SAU","Saudi Arabia",143.747596714,114.873442501,97.4313193813,72.4858598728
686,"SEN","Senegal",4130.31795044,2727.14166857,2184.14323723,1722.89898723
688,"SRB","Serbia",43.1969112731,40.561689567,38.3460215218,40.4926676459
690,"SYC","Seychelles",91.3911039999,91.5878568604,94.3511746619,85.3496167471
694,"SLE","Sierra Leone",6350.34271749,6269.5566615,5651.92913468,3994.03543156
702,"SGP","Singapore",4.21794706799,3.52798096521,3.77680222517,3.94152115819
534,"SXM","Sint Maarten",NA,NA,NA,NA
703,"SVK","Slovakia",50.6686538952,52.195101329,47.1802304013,42.5782398552
705,"SVN","Slovenia",38.7591762039,40.0938913233,39.7317948668,38.2877985881
90,"SLB","Solomon Islands",965.396459317,863.921616713,795.67271182,582.933093956
706,"SOM","Somalia",3969.47222138,3629.63421693,3989.56734572,2970.12092768
710,"ZAF","South Africa",2078.84454224,1552.43569984,1099.97733156,781.168310929
410,"KOR","South Korea",5.3919220176,4.57975344706,5.25624781908,5.63915428992
728,"SSD","South Sudan",4871.33790772,3905.2790042,3413.8239987,3198.93794167
724,"ESP","Spain",2.25399153727,2.43112466351,2.60887840022,2.53577090116
144,"LKA","Sri Lanka",193.280025783,143.358542565,113.553959815,93.2159028053
275,"PSE","State of Palestine",146.235957599,108.794375102,114.702213485,107.54382387
729,"SDN","Sudan",2103.64529637,1537.37547221,1167.58772627,737.042135781
740,"SUR","Suriname",606.407846578,448.046114903,387.717711848,328.164154505
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA,NA
748,"SWZ","Swaziland",3963.76090365,3678.98524769,3461.53876755,2357.33493964
752,"SWE","Sweden",3.02403288998,3.43973144257,4.1582370686,3.90074850298
756,"CHE","Switzerland",2.94244527139,3.20924145831,3.66293267297,3.41314458593
760,"SYR","Syria",90.5394328285,76.0303032281,67.364172389,59.463682748
158,"TWN","Taiwan",39.2638650251,39.7257938555,42.4452698297,42.927408801
762,"TJK","Tajikistan",1820.30832304,862.466110996,662.315590143,440.672844896
834,"TZA","Tanzania",3756.33426516,2974.89886291,2611.66062231,1967.38140687
764,"THA","Thailand",208.812325364,199.387931186,177.28434734,153.962009553
626,"TLS","Timor-Leste",3049.55792222,2366.24360952,1396.1434,792.797217141
768,"TGO","Togo",3408.65210658,2903.10048703,2401.31291105,1845.21044228
772,"TKL","Tokelau",NA,NA,NA,NA
776,"TON","Tonga",217.708266041,190.38359457,182.159513155,174.595123899
780,"TTO","Trinidad and Tobago",122.317916864,101.393759094,93.638281816,94.5292598118
788,"TUN","Tunisia",107.502893092,93.0823513724,92.3047898071,85.6032925633
792,"TUR","Turkey",376.40852421,172.263936229,99.8565483396,82.8224338139
795,"TKM","Turkmenistan",1052.0182539,517.103757699,255.312031293,135.12555904
796,"TCA","Turks and Caicos Islands",NA,NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA,NA
800,"UGA","Uganda",2920.38291079,2170.03966993,1859.04810665,1702.55595145
804,"UKR","Ukraine",63.4246008289,50.6044019993,46.5082755982,47.7739390526
784,"ARE","United Arab Emirates",85.6526888275,76.664126816,76.4047636743,66.797809524
826,"GBR","United Kingdom",4.14533366379,4.62042089535,4.30464328223,3.34528159936
840,"USA","United States of America",5.19950370123,3.80606271011,3.64485922838,3.34952053331
850,"VIR","United States Virgin Islands",73.0187424238,71.0615326017,74.3968871984,77.8515147576
858,"URY","Uruguay",35.6555279484,29.4396036816,23.8329266346,17.4220137035
860,"UZB","Uzbekistan",116.264603889,53.1642192959,40.3046656395,27.9578166095
548,"VUT","Vanuatu",1027.88391387,863.666227484,737.511058933,576.01715701
862,"VEN","Venezuela",297.585874391,218.884690627,166.677899152,143.078204559
704,"VNM","Viet Nam",199.944651455,131.972448566,96.1945410589,84.95577728
876,"WLF","Wallis and Futuna Islands",NA,NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA,NA
887,"YEM","Yemen",3234.81042453,2404.65205262,1608.0315843,995.984296718
894,"ZMB","Zambia",6238.92759759,5484.3282919,4025.93072188,2441.31145375
716,"ZWE","Zimbabwe",1615.17754829,2068.69309491,2697.90215105,2007.0700765
