code,iso,country,Region,EPI.new,EPI.rnk.new,EPI.rnk.rgn,EPI.avg.rgn,HLT.rnk.rgn,HLT.avg.rgn,ECO.rnk.rgn,ECO.avg.rgn,HMT.rnk.rgn,HMT.avg.rgn,AIR.rnk.rgn,AIR.avg.rgn,H2O.rnk.rgn,H2O.avg.rgn,WRS.rnk.rgn,WRS.avg.rgn,AGR.rnk.rgn,AGR.avg.rgn,FRT.rnk.rgn,FRT.avg.rgn,FSH.rnk.rgn,FSH.avg.rgn,BDH.rnk.rgn,BDH.avg.rgn,CCE.rnk.rgn,CCE.avg.rgn,APE.rnk.rgn,APE.avg.rgn,PBD.rnk.rgn,PBD.avg.rgn,PME.rnk.rgn,PME.avg.rgn,PMW.rnk.rgn,PMW.avg.rgn,HAD.rnk.rgn,HAD.avg.rgn,USD.rnk.rgn,USD.avg.rgn,UWD.rnk.rgn,UWD.avg.rgn,WWT.rnk.rgn,WWT.avg.rgn,SNM.rnk.rgn,SNM.avg.rgn,TCL.rnk.rgn,TCL.avg.rgn,FSS.rnk.rgn,FSS.avg.rgn,MTR.rnk.rgn,MTR.avg.rgn,MPA.rnk.rgn,MPA.avg.rgn,TBN.rnk.rgn,TBN.avg.rgn,TBG.rnk.rgn,TBG.avg.rgn,PAR.rnk.rgn,PAR.avg.rgn,SPI.rnk.rgn,SPI.avg.rgn,SHI.rnk.rgn,SHI.avg.rgn,DCT.rnk.rgn,DCT.avg.rgn,DMT.rnk.rgn,DMT.avg.rgn,DNT.rnk.rgn,DNT.avg.rgn,DBT.rnk.rgn,DBT.avg.rgn,DPT.rnk.rgn,DPT.avg.rgn,DST.rnk.rgn,DST.avg.rgn,DXT.rnk.rgn,DXT.avg.rgn
4,AFG,Afghanistan,Asia,37.74,168,22,50.13346154,18,49.11423077,24,50.81384615,26,48.35153846,15,49.20269231,21,49.05,18,39.01961538,6,32.57423077,2,31.47583333,,59.96380952,26,62.54269231,25,51.71423077,2,50.56730769,26,48.35153846,10,57.59,10,60.79230769,25,34.22038462,21,50.27923077,21,47.82038462,18,39.01961538,6,32.57423077,2,31.47583333,,68.94,,50.98809524,,75.28095238,26,63.37307692,26,64.49576923,24,28.50192308,23,70.88652174,7,68.23521739,24,47.06961538,21,70.25346154,21,70.295,6,56.62846154,,38.38,3,50.44846154,1,50.68730769
8,ALB,Albania,Eastern Europe & Eurasia,65.46,40,8,60.54827586,15,63.50758621,10,58.57655172,23,72.21275862,14,63.31413793,12,62.47655172,19,77.75344828,27,41.95034483,18,36.44821429,3,49.46076923,13,68.79172414,5,54.31,2,60.64310345,23,72.21275862,7,73.45241379,7,76.98896552,20,45.45448276,12,62.40793103,11,62.54310345,19,77.75344828,27,41.95034483,18,36.44821429,4,54.72846154,3,44.19769231,10,89.33615385,13,66.10586207,13,69.80931034,8,42.90689655,23,69.03448276,23,86.77310345,15,54.62103448,5,60.33206897,11,56.44689655,6,50.23655172,1,47.99448276,6,62.35,2,58.93724138
12,DZA,Algeria,Mid East & North Africa,57.18,88,12,58.70941176,6,73.89588235,14,48.58529412,10,39.02058824,6,83.98352941,10,57.85058824,6,80.05,3,24.79529412,7,39.15625,14,58.42933333,7,48.41705882,15,42.12235294,11,47.42411765,10,39.02058824,1,86.64823529,5,87.26117647,8,79.52882353,10,60.46058824,9,55.23941176,6,80.05,3,24.79529412,7,39.15625,14,68.724,5,48.13066667,13,73.00133333,6,39.08235294,6,38.98294118,10,13.58176471,6,47.435625,13,89.600625,11,29.32352941,16,62.70764706,16,67.99823529,17,64.81764706,6,41.38529412,5,53.13117647,15,41.71823529
24,AGO,Angola,Sub-Saharan Africa,37.44,170,40,44.89,36,41.97956522,36,46.83108696,21,40.61608696,34,54.94152174,30,14.12304348,26,26.31826087,30,25.57934783,9,14.22571429,7,57.17633333,38,68.05326087,21,46.66391304,8,43.71978261,21,40.61608696,38,81.83891304,38,83.82652174,12,13.10304348,27,14.19565217,31,14.05108696,26,26.31826087,30,25.57934783,9,14.22571429,5,74.763,17,39.58733333,25,59.89933333,37,69.12478261,36,71.375,20,44.20804348,36,71.46,24,83.6025,17,49.55956522,33,45.17934783,8,39.98804348,2,26.20717391,8,42.03434783,12,47.57826087,11,39.86108696
28,ATG,Antigua and Barbuda,Caribbean,59.18,76,6,57.55916667,3,70.7,7,48.79833333,3,40.15583333,3,83.33666667,5,48.41583333,5,61.0775,7,5.836666667,,33.552,5,55.05583333,2,69.46,12,40.7875,4,37.95666667,3,40.15583333,1,100,1,100,3,58.34,5,49.28333333,6,47.54666667,5,61.0775,7,5.836666667,,33.552,9,58.5,3,51.6125,7,66.05166667,1,67.57333333,1,68.10583333,6,78.23666667,,77.39666667,,71.28166667,11,37.94166667,12,51.42416667,3,67.79583333,8,48.61083333,,30.288,4,42.0125,3,33.9025
32,ARG,Argentina,Latin America,59.3,74,9,58.173,2,66.851,19,52.387,5,48.3335,3,75.553,3,51.082,9,57.3915,2,30.836,14,18.441,17,58.86611111,18,76.5735,12,48.9085,17,36.302,5,48.3335,1,96.1595,15,94.8045,3,45.66,3,51.734,3,50.43,9,57.3915,2,30.836,14,18.441,16,58.61444444,9,59.11777778,8,86.33388889,19,79.4635,15,75.829,19,68.821,18,77.784,12,60.102,13,45.5225,4,62.321,5,58.982,2,40.4455,15,43.75222222,19,40.318,7,32.286
51,ARM,Armenia,Eastern Europe & Eurasia,62.07,63,17,60.54827586,25,63.50758621,9,58.57655172,16,72.21275862,24,63.31413793,17,62.47655172,14,77.75344828,23,41.95034483,5,36.44821429,,49.46076923,12,68.79172414,18,54.31,12,60.64310345,16,72.21275862,22,73.45241379,22,76.98896552,18,45.45448276,18,62.40793103,15,62.54310345,14,77.75344828,23,41.95034483,5,36.44821429,,54.72846154,,44.19769231,,89.33615385,9,66.10586207,1,69.80931034,22,42.90689655,20,69.03448276,8,86.77310345,18,54.62103448,21,60.33206897,15,56.44689655,9,50.23655172,11,47.99448276,1,62.35,28,58.93724138
36,AUS,Australia,Pacific,74.12,21,2,57.89875,1,66.08375,4,52.445,4,59.56375,1,73.645,1,50.78375,1,61.775,1,19.7125,4,21.436,5,62.1575,3,62.83375,5,48.54625,7,53.04875,4,59.56375,1,100,1,100,1,34.10875,1,52.1425,1,49.425,1,61.775,1,19.7125,4,21.436,8,61.215,1,63.1,1,80.7375,4,58.84875,4,57.87125,2,23.46375,2,54.74833333,4,86.235,5,49.15125,2,42.86875,5,44.0875,5,54.885,2,61.2,7,50.4825,7,55.615
40,AUT,Austria,Europe & North America,78.97,8,8,77.90318182,21,93.45409091,3,67.53545455,7,80.32090909,21,92.53227273,19,97.64045455,8,96.55818182,2,47.83454545,7,19.8525,,50.49947368,9,88.71954545,12,62.02590909,7,68.815,7,80.32090909,21,93.07681818,21,92.92909091,18,91.82409091,19,96.49409091,14,98.78454545,8,96.55818182,2,47.83454545,7,19.8525,,56.48052632,,44.51842105,,92.74210526,1,91.41954545,1,92.94363636,3,61.67863636,19,94.60285714,12,83.03761905,15,55.41272727,6,77.68954545,14,53.61818182,19,69.37272727,9,63.16045455,7,72.68045455,9,64.95136364
31,AZE,Azerbaijan,Eastern Europe & Eurasia,62.33,59,16,60.54827586,28,63.50758621,2,58.57655172,22,72.21275862,27,63.31413793,26,62.47655172,22,77.75344828,19,41.95034483,4,36.44821429,,49.46076923,20,68.79172414,3,54.31,1,60.64310345,22,72.21275862,24,73.45241379,25,76.98896552,23,45.45448276,26,62.40793103,26,62.54310345,22,77.75344828,19,41.95034483,4,36.44821429,,54.72846154,,44.19769231,,89.33615385,19,66.10586207,19,69.80931034,25,42.90689655,13,69.03448276,3,86.77310345,1,54.62103448,29,60.33206897,4,56.44689655,1,50.23655172,20,47.99448276,4,62.35,1,58.93724138
44,BHS,Bahamas,Caribbean,54.99,98,10,57.55916667,5,70.7,9,48.79833333,4,40.15583333,6,83.33666667,4,48.41583333,5,61.0775,6,5.836666667,7,33.552,6,55.05583333,4,69.46,11,40.7875,12,37.95666667,4,40.15583333,1,100,1,100,6,58.34,3,49.28333333,4,47.54666667,5,61.0775,6,5.836666667,7,33.552,3,58.5,7,51.6125,4,66.05166667,2,67.57333333,2,68.10583333,7,78.23666667,5,77.39666667,1,71.28166667,11,37.94166667,3,51.42416667,1,67.79583333,9,48.61083333,,30.288,11,42.0125,12,33.9025
48,BHR,Bahrain,Mid East & North Africa,55.15,96,13,58.70941176,15,73.89588235,9,48.58529412,5,39.02058824,16,83.98352941,6,57.85058824,4,80.05,2,24.79529412,,39.15625,13,58.42933333,13,48.41705882,8,42.12235294,5,47.42411765,5,39.02058824,15,86.64823529,17,87.26117647,13,79.52882353,8,60.46058824,5,55.23941176,4,80.05,2,24.79529412,,39.15625,6,68.724,12,48.13066667,6,73.00133333,12,39.08235294,13,38.98294118,17,13.58176471,,47.435625,,89.600625,9,29.32352941,9,62.70764706,1,67.99823529,4,64.81764706,11,41.38529412,4,53.13117647,10,41.71823529
50,BGD,Bangladesh,Asia,29.56,179,26,50.13346154,24,49.11423077,23,50.81384615,24,48.35153846,25,49.20269231,19,49.05,18,39.01961538,9,32.57423077,17,31.47583333,8,59.96380952,18,62.54269231,14,51.71423077,18,50.56730769,24,48.35153846,24,57.59,25,60.79230769,21,34.22038462,19,50.27923077,20,47.82038462,18,39.01961538,9,32.57423077,17,31.47583333,2,68.94,18,50.98809524,2,75.28095238,23,63.37307692,12,64.49576923,25,28.50192308,21,70.88652174,6,68.23521739,13,47.06961538,15,70.25346154,14,70.295,18,56.62846154,11,38.38,13,50.44846154,21,50.68730769
52,BRB,Barbados,Caribbean,55.76,93,9,57.55916667,1,70.7,11,48.79833333,2,40.15583333,1,83.33666667,3,48.41583333,5,61.0775,3,5.836666667,,33.552,10,55.05583333,11,69.46,9,40.7875,5,37.95666667,2,40.15583333,1,100,1,100,1,58.34,4,49.28333333,2,47.54666667,5,61.0775,3,5.836666667,,33.552,10,58.5,6,51.6125,11,66.05166667,11,67.57333333,11,68.10583333,8,78.23666667,,77.39666667,,71.28166667,8,37.94166667,10,51.42416667,9,67.79583333,6,48.61083333,,30.288,5,42.0125,4,33.9025
112,BLR,Belarus,Eastern Europe & Eurasia,64.98,44,11,60.54827586,10,63.50758621,14,58.57655172,13,72.21275862,8,63.31413793,11,62.47655172,1,77.75344828,25,41.95034483,21,36.44821429,,49.46076923,18,68.79172414,6,54.31,7,60.64310345,13,72.21275862,19,73.45241379,20,76.98896552,5,45.45448276,13,62.40793103,2,62.54310345,1,77.75344828,25,41.95034483,21,36.44821429,,54.72846154,,44.19769231,,89.33615385,17,66.10586207,18,69.80931034,18,42.90689655,16,69.03448276,9,86.77310345,6,54.62103448,6,60.33206897,7,56.44689655,14,50.23655172,18,47.99448276,10,62.35,7,58.93724138
56,BEL,Belgium,Europe & North America,77.38,15,15,77.90318182,18,93.45409091,9,67.53545455,21,80.32090909,18,92.53227273,17,97.64045455,11,96.55818182,14,47.83454545,11,19.8525,12,50.49947368,5,88.71954545,9,62.02590909,9,68.815,21,80.32090909,20,93.07681818,17,92.92909091,7,91.82409091,14,96.49409091,21,98.78454545,11,96.55818182,14,47.83454545,11,19.8525,9,56.48052632,13,44.51842105,1,92.74210526,1,91.41954545,1,92.94363636,5,61.67863636,1,94.60285714,17,83.03761905,13,55.41272727,4,77.68954545,15,53.61818182,8,69.37272727,12,63.16045455,6,72.68045455,10,64.95136364
84,BLZ,Belize,Latin America,57.79,81,10,58.173,11,66.851,8,52.387,10,48.3335,12,75.553,10,51.082,12,57.3915,11,30.836,16,18.441,16,58.86611111,2,76.5735,14,48.9085,8,36.302,10,48.3335,1,96.1595,1,94.8045,14,45.66,9,51.734,11,50.43,12,57.3915,11,30.836,16,18.441,12,58.61444444,17,59.11777778,1,86.33388889,1,79.4635,1,75.829,1,68.821,1,77.784,16,60.102,8,45.5225,20,62.321,19,58.982,7,40.4455,,43.75222222,10,40.318,6,32.286
204,BEN,Benin,Sub-Saharan Africa,38.17,167,39,44.89,35,41.97956522,37,46.83108696,39,40.61608696,30,54.94152174,36,14.12304348,25,26.31826087,11,25.57934783,27,14.22571429,25,57.17633333,23,68.05326087,36,46.66391304,42,43.71978261,39,40.61608696,26,81.83891304,31,83.82652174,33,13.10304348,36,14.19565217,36,14.05108696,25,26.31826087,11,25.57934783,27,14.22571429,14,74.763,23,39.58733333,26,59.89933333,1,69.12478261,1,71.375,7,44.20804348,6,71.46,26,83.6025,37,49.55956522,15,45.17934783,19,39.98804348,28,26.20717391,18,42.03434783,30,47.57826087,43,39.86108696
64,BTN,Bhutan,Asia,47.22,131,15,50.13346154,20,49.11423077,7,50.81384615,21,48.35153846,19,49.20269231,16,49.05,18,39.01961538,12,32.57423077,5,31.47583333,,59.96380952,1,62.54269231,22,51.71423077,14,50.56730769,21,48.35153846,17,57.59,17,60.79230769,12,34.22038462,18,50.27923077,16,47.82038462,18,39.01961538,12,32.57423077,5,31.47583333,,68.94,,50.98809524,,75.28095238,1,63.37307692,1,64.49576923,1,28.50192308,2,70.88652174,3,68.23521739,20,47.06961538,7,70.25346154,8,70.295,15,56.62846154,,38.38,15,50.44846154,14,50.68730769
68,BOL,Bolivia,Latin America,55.98,92,13,58.173,15,66.851,9,52.387,12,48.3335,15,75.553,13,51.082,11,57.3915,5,30.836,11,18.441,,58.86611111,3,76.5735,19,48.9085,9,36.302,12,48.3335,1,96.1595,14,94.8045,17,45.66,12,51.734,14,50.43,11,57.3915,5,30.836,11,18.441,,58.61444444,,59.11777778,,86.33388889,4,79.4635,4,75.829,11,68.821,8,77.784,7,60.102,19,45.5225,13,62.321,14,58.982,16,40.4455,11,43.75222222,7,40.318,17,32.286
70,BIH,Bosnia and Herzegovina,Eastern Europe & Eurasia,41.84,158,29,60.54827586,17,63.50758621,29,58.57655172,21,72.21275862,17,63.31413793,2,62.47655172,28,77.75344828,24,41.95034483,8,36.44821429,,49.46076923,28,68.79172414,29,54.31,28,60.64310345,21,72.21275862,12,73.45241379,13,76.98896552,25,45.45448276,5,62.40793103,4,62.54310345,28,77.75344828,24,41.95034483,8,36.44821429,,54.72846154,,44.19769231,,89.33615385,28,66.10586207,28,69.80931034,7,42.90689655,28,69.03448276,14,86.77310345,29,54.62103448,20,60.33206897,25,56.44689655,26,50.23655172,29,47.99448276,29,62.35,25,58.93724138
72,BWA,Botswana,Sub-Saharan Africa,51.7,113,8,44.89,32,41.97956522,5,46.83108696,9,40.61608696,36,54.94152174,9,14.12304348,12,26.31826087,14,25.57934783,1,14.22571429,,57.17633333,2,68.05326087,24,46.66391304,22,43.71978261,9,40.61608696,42,81.83891304,43,83.82652174,7,13.10304348,9,14.19565217,9,14.05108696,12,26.31826087,14,25.57934783,1,14.22571429,,74.763,,39.58733333,,59.89933333,1,69.12478261,1,71.375,1,44.20804348,10,71.46,7,83.6025,35,49.55956522,1,45.17934783,7,39.98804348,16,26.20717391,21,42.03434783,17,47.57826087,27,39.86108696
76,BRA,Brazil,Latin America,60.7,69,7,58.173,8,66.851,5,52.387,11,48.3335,7,75.553,11,51.082,4,57.3915,4,30.836,12,18.441,3,58.86611111,4,76.5735,20,48.9085,10,36.302,11,48.3335,1,96.1595,16,94.8045,7,45.66,13,51.734,10,50.43,4,57.3915,4,30.836,12,18.441,8,58.61444444,1,59.11777778,5,86.33388889,3,79.4635,3,75.829,12,68.821,7,77.784,15,60.102,20,45.5225,9,62.321,12,58.982,17,40.4455,13,43.75222222,8,40.318,15,32.286
96,BRN,Brunei Darussalam,Asia,63.57,53,4,50.13346154,1,49.11423077,22,50.81384615,5,48.35153846,1,49.20269231,4,49.05,11,39.01961538,16,32.57423077,15,31.47583333,16,59.96380952,4,62.54269231,26,51.71423077,26,50.56730769,5,48.35153846,1,57.59,7,60.79230769,1,34.22038462,4,50.27923077,4,47.82038462,11,39.01961538,16,32.57423077,15,31.47583333,14,68.94,20,50.98809524,19,75.28095238,1,63.37307692,1,64.49576923,19,28.50192308,1,70.88652174,10,68.23521739,26,47.06961538,26,70.25346154,6,70.295,4,56.62846154,5,38.38,26,50.44846154,26,50.68730769
100,BGR,Bulgaria,Eastern Europe & Eurasia,67.85,30,3,60.54827586,9,63.50758621,8,58.57655172,12,72.21275862,10,63.31413793,3,62.47655172,6,77.75344828,15,41.95034483,10,36.44821429,2,49.46076923,7,68.79172414,13,54.31,20,60.64310345,12,72.21275862,8,73.45241379,8,76.98896552,16,45.45448276,2,62.40793103,10,62.54310345,6,77.75344828,15,41.95034483,10,36.44821429,4,54.72846154,1,44.19769231,7,89.33615385,10,66.10586207,10,69.80931034,9,42.90689655,1,69.03448276,22,86.77310345,9,54.62103448,14,60.33206897,29,56.44689655,12,50.23655172,22,47.99448276,21,62.35,15,58.93724138
854,BFA,Burkina Faso,Sub-Saharan Africa,42.83,154,28,44.89,17,41.97956522,32,46.83108696,42,40.61608696,14,54.94152174,32,14.12304348,26,26.31826087,19,25.57934783,,14.22571429,,57.17633333,16,68.05326087,40,46.66391304,39,43.71978261,42,40.61608696,1,81.83891304,11,83.82652174,38,13.10304348,33,14.19565217,32,14.05108696,26,26.31826087,19,25.57934783,,14.22571429,,74.763,,39.58733333,,59.89933333,20,69.12478261,21,71.375,14,44.20804348,17,71.46,28,83.6025,39,49.55956522,30,45.17934783,35,39.98804348,46,26.20717391,,42.03434783,38,47.57826087,37,39.86108696
108,BDI,Burundi,Sub-Saharan Africa,27.43,180,46,44.89,44,41.97956522,45,46.83108696,43,40.61608696,44,54.94152174,43,14.12304348,26,26.31826087,34,25.57934783,7,14.22571429,,57.17633333,34,68.05326087,45,46.66391304,29,43.71978261,43,40.61608696,41,81.83891304,42,83.82652174,39,13.10304348,43,14.19565217,44,14.05108696,26,26.31826087,34,25.57934783,7,14.22571429,,74.763,,39.58733333,,59.89933333,33,69.12478261,35,71.375,31,44.20804348,34,71.46,21,83.6025,44,49.55956522,42,45.17934783,32,39.98804348,42,26.20717391,,42.03434783,28,47.57826087,24,39.86108696
384,CIV,CÃ´te d'Ivoire,Sub-Saharan Africa,45.25,139,18,44.89,29,41.97956522,19,46.83108696,35,40.61608696,26,54.94152174,27,14.12304348,14,26.31826087,37,25.57934783,28,14.22571429,10,57.17633333,17,68.05326087,33,46.66391304,13,43.71978261,35,40.61608696,24,81.83891304,26,83.82652174,37,13.10304348,26,14.19565217,29,14.05108696,14,26.31826087,37,25.57934783,28,14.22571429,14,74.763,11,39.58733333,16,59.89933333,1,69.12478261,1,71.375,8,44.20804348,2,71.46,43,83.6025,34,49.55956522,27,45.17934783,9,39.98804348,35,26.20717391,10,42.03434783,8,47.57826087,18,39.86108696
132,CPV,Cabo Verde,Sub-Saharan Africa,56.94,89,4,44.89,3,41.97956522,11,46.83108696,6,40.61608696,3,54.94152174,3,14.12304348,2,26.31826087,32,25.57934783,,14.22571429,8,57.17633333,45,68.05326087,6,46.66391304,5,43.71978261,6,40.61608696,1,81.83891304,1,83.82652174,5,13.10304348,3,14.19565217,3,14.05108696,2,26.31826087,32,25.57934783,,14.22571429,23,74.763,7,39.58733333,26,59.89933333,42,69.12478261,43,71.375,46,44.20804348,39,71.46,1,83.6025,13,49.55956522,2,45.17934783,3,39.98804348,3,26.20717391,,42.03434783,5,47.57826087,5,39.86108696
116,KHM,Cambodia,Asia,43.23,150,19,50.13346154,17,49.11423077,18,50.81384615,17,48.35153846,17,49.20269231,15,49.05,18,39.01961538,3,32.57423077,21,31.47583333,18,59.96380952,5,62.54269231,13,51.71423077,19,50.56730769,17,48.35153846,13,57.59,14,60.79230769,23,34.22038462,15,50.27923077,15,47.82038462,18,39.01961538,3,32.57423077,21,31.47583333,17,68.94,12,50.98809524,15,75.28095238,1,63.37307692,1,64.49576923,3,28.50192308,4,70.88652174,21,68.23521739,16,47.06961538,23,70.25346154,20,70.295,25,56.62846154,2,38.38,18,50.44846154,20,50.68730769
120,CMR,Cameroon,Sub-Saharan Africa,40.81,161,34,44.89,30,41.97956522,33,46.83108696,13,40.61608696,31,54.94152174,17,14.12304348,26,26.31826087,12,25.57934783,8,14.22571429,27,57.17633333,35,68.05326087,12,46.66391304,32,43.71978261,13,40.61608696,29,81.83891304,29,83.82652174,29,13.10304348,17,14.19565217,18,14.05108696,26,26.31826087,12,25.57934783,8,14.22571429,14,74.763,26,39.58733333,26,59.89933333,29,69.12478261,31,71.375,27,44.20804348,32,71.46,29,83.6025,7,49.55956522,16,45.17934783,34,39.98804348,9,26.20717391,14,42.03434783,42,47.57826087,21,39.86108696
124,CAN,Canada,Europe & North America,72.18,25,20,77.90318182,5,93.45409091,22,67.53545455,6,80.32090909,1,92.53227273,18,97.64045455,15,96.55818182,6,47.83454545,13,19.8525,14,50.49947368,17,88.71954545,22,62.02590909,21,68.815,6,80.32090909,1,93.07681818,8,92.92909091,1,91.82409091,20,96.49409091,1,98.78454545,15,96.55818182,6,47.83454545,13,19.8525,10,56.48052632,14,44.51842105,16,92.74210526,1,91.41954545,1,92.94363636,18,61.67863636,21,94.60285714,14,83.03761905,22,55.41272727,22,77.68954545,21,53.61818182,22,69.37272727,7,63.16045455,19,72.68045455,20,64.95136364
140,CAF,Central African Republic,Sub-Saharan Africa,36.42,171,41,44.89,43,41.97956522,34,46.83108696,46,40.61608696,37,54.94152174,46,14.12304348,26,26.31826087,33,25.57934783,2,14.22571429,,57.17633333,10,68.05326087,43,46.66391304,27,43.71978261,46,40.61608696,32,81.83891304,32,83.82652174,46,13.10304348,46,14.19565217,46,14.05108696,26,26.31826087,33,25.57934783,2,14.22571429,,74.763,,39.58733333,,59.89933333,1,69.12478261,1,71.375,17,44.20804348,20,71.46,2,83.6025,40,49.55956522,46,45.17934783,46,39.98804348,36,26.20717391,,42.03434783,22,47.57826087,26,39.86108696
148,TCD,Chad,Sub-Saharan Africa,45.34,137,17,44.89,26,41.97956522,20,46.83108696,31,40.61608696,18,54.94152174,45,14.12304348,26,26.31826087,15,25.57934783,22,14.22571429,,57.17633333,24,68.05326087,19,46.66391304,3,43.71978261,31,40.61608696,1,81.83891304,15,83.82652174,42,13.10304348,45,14.19565217,45,14.05108696,26,26.31826087,15,25.57934783,22,14.22571429,,74.763,,39.58733333,,59.89933333,28,69.12478261,27,71.375,33,44.20804348,21,71.46,17,83.6025,16,49.55956522,32,45.17934783,28,39.98804348,8,26.20717391,,42.03434783,3,47.57826087,4,39.86108696
