code,iso,country,EPI.baseline,HLT.baseline,AIR.baseline,H2O.baseline,HMT.baseline,ECO.baseline,BDH.baseline,FRT.baseline,FSH.baseline,CCE.baseline,APE.baseline,WRS.baseline,AGR.baseline,HAD.baseline,PME.baseline,PMW.baseline,USD.baseline,UWD.baseline,PBD.baseline,MPA.baseline,TBN.baseline,TBG.baseline,SPI.baseline,PAR.baseline,SHI.baseline,TCL.baseline,FSS.baseline,MTR.baseline,DCT.baseline,DPT.baseline,DMT.baseline,DNT.baseline,DBT.baseline,DST.baseline,DXT.baseline,WWT.baseline,SNM.baseline
566,NGA,Nigeria,49.74,34.6,49.01,0,54.96,59.82,70.73,,62.66,60.58,69.96,30.76,32.93,8.2,74.33,78.1,0,0,54.96,53.05,76.69,68.91,85.44,44.89,94.24,,90.57,34.75,79.5,37.04,44.32,46.66,44.51,73.91,66,30.76,32.93
578,NOR,Norway,76.14,94.42,92.9,99.28,85.16,63.96,74.55,30.67,68.95,68.17,38.72,96.11,28.51,82.24,100,100,98.55,100,85.16,75.11,70.36,70.43,78.33,58.59,98.48,30.67,83.74,54.16,51.01,96.51,98.38,20.94,52.75,28.63,48.8,96.11,28.51
512,OMN,Oman,45.15,66.07,72.52,60.93,12.93,31.2,33.57,,60.82,19.32,0.37,68.37,18.7,40.66,95.63,91.91,67.16,54.7,12.93,67.63,14.56,12.36,22.15,2.5,99.85,,98.3,23.33,0,48.86,13.4,87.54,49.74,0.01,0.72,68.37,18.7
586,PAK,Pakistan,33.74,14.46,14.77,14.97,7.27,46.59,60.68,50.68,52.4,41.26,50.91,26.03,20.89,5.69,18.77,22.88,15.59,14.34,7.27,82.24,62.89,53.82,52.3,11.31,93.03,50.68,60.44,44.36,46.25,41.37,31.33,29.97,41.84,52.02,49.79,26.03,20.89
591,PAN,Panama,53.78,62.87,75.14,39.18,45.36,47.73,86.48,25.89,43.08,30.27,17.55,78.12,11.23,37.86,100,100,37.25,41.11,45.36,84.23,93.8,86.61,92.24,56.03,95,25.89,33.83,52.33,35.72,21.77,22.04,31.78,41.23,16.51,18.6,78.12,11.23
598,PNG,Papua New Guinea,34.34,45.13,60,12.31,48.66,27.15,34.08,43.29,72.11,18.35,1.34,0,29.02,0,100,100,11.88,12.73,48.66,70.51,14.22,13.16,15.41,14.63,99.55,43.29,89.73,54.5,13.9,,32.63,15.16,26.68,2.32,0.35,0,29.02
600,PRY,Paraguay,51.28,56.94,67.8,36.42,38.89,47.51,48.56,4.29,,52.24,60.46,46.8,75.77,21.05,100,97.92,36.75,36.09,38.89,,38.36,43.42,71.58,23.1,58.63,4.29,,,71.35,61.81,10.12,14.17,29.47,73.21,47.71,46.8,75.77
604,PER,Peru,57.55,52.53,56.37,42.22,64.51,60.89,75.02,39.16,61.56,53.02,58.21,88.49,29.7,24.87,78.45,76.3,39.52,44.92,64.51,72.9,85.36,81.68,65.87,46.78,91.82,39.16,95.4,27.73,64.79,51.04,30.54,34.49,51.7,46.79,69.64,88.49,29.7
608,PHL,Philippines,57.07,52.12,62,34.02,32.43,60.37,79.66,30.06,69.77,52.07,71.47,60.34,33.45,10.28,100,92.95,36.22,31.81,32.43,85.48,83.79,89.74,81.43,25.59,90.15,30.06,84.78,54.76,68.64,24.14,38.91,44.26,58.55,71.27,71.67,60.34,33.45
616,POL,Poland,66.4,62.56,60.45,67.99,57.47,68.96,95.55,19.26,58.22,59.96,79.3,92.35,43.37,45.03,67.57,73.89,70.19,65.79,57.47,100,100,100,99.98,61.76,93.79,19.26,16.45,100,74.75,38.61,50.4,35.87,59.85,85.01,73.59,92.35,43.37
620,PRT,Portugal,67.27,84.99,84.41,91.79,51.66,55.46,89.08,0,43.94,37.93,77.28,93.82,6.09,61.33,100,99.61,85.97,97.61,51.66,74.45,100,100,100,53.57,88.33,0,18.57,69.32,35.79,68.97,12.59,27.62,46.83,90.55,64.01,93.82,6.09
634,QAT,Qatar,55.59,70.9,73.71,70.08,39.25,45.38,39.94,,40.8,37.25,49.98,96.13,19.76,100,46.84,65.52,72.73,67.43,39.25,69.46,12.82,12.82,54,1.93,99.24,,81.6,0,4.69,49.02,77.39,97.71,94.84,97.71,2.25,96.13,19.76
178,COG,Republic of Congo,37.61,24.78,32.34,5.89,40,46.16,68.15,48.17,41.06,35.18,52.7,31.97,23.62,5.07,45.04,55.99,5.64,6.14,40,92.45,56.89,57.48,68.08,33.69,98.03,48.17,82.12,0,39.06,33.94,28.34,30.03,33.76,70.23,35.16,31.97,23.62
642,ROU,Romania,62.3,59.49,62.56,52.76,59.91,64.17,56.5,30.89,82.73,65.84,81.28,83.95,48.15,25.74,87.4,86.81,49.65,55.86,59.91,96.32,29.72,40.17,54.77,32.14,90.91,30.89,65.46,100,78.45,51.64,58.74,44.84,45.9,79.92,82.64,83.95,48.15
643,RUS,Russia,64.56,69.67,73.64,59.86,76.94,61.15,66.09,22.4,38.15,62.43,77.98,96.53,47.83,52.86,88.22,86.76,56.93,62.79,76.94,90.92,55.53,61.69,58.32,31.19,96.82,22.4,30.75,45.56,78.11,33.88,48.2,60.88,78.34,77.29,78.67,96.53,47.83
646,RWA,Rwanda,45.48,27.31,37.86,3.56,32.76,57.58,62.69,29.84,,79.68,76.58,0,32.14,2.7,57.07,65.53,3.17,3.94,32.76,,49.77,52.87,78.49,40.44,98.79,29.84,,,100,,35.29,25.91,26.54,78.43,74.73,0,32.14
662,LCA,Saint Lucia,54.38,65.98,77.66,46.81,29.1,46.65,56.58,52.36,66.16,44.39,8.9,64.44,0,44.16,100,100,46.35,47.26,29.1,70.37,57.46,28.69,,83.04,,52.36,65.13,67.18,47.1,,20.23,87.53,60,12.67,5.13,64.44,0
670,VCT,Saint Vincent and the Grenadines,60.05,63.56,75.14,45.78,19.69,57.71,83.43,100,32.56,46.26,31.13,64.44,3.22,37.84,100,100,45.46,46.09,19.69,72.24,80.73,94.88,,88.29,,100,65.13,0,37.58,,60.78,91.59,64.38,32.55,29.72,64.44,3.22
882,WSM,Samoa,53.04,60.51,65.69,49.45,59.47,48.07,48.6,,56.01,52.07,33.35,58.45,14.16,14.23,100,100,52.13,46.77,59.47,65.37,38.62,38.62,50.37,0,100,,51.82,60.21,58.3,,34.78,47.02,39.02,27.84,38.87,58.45,14.16
678,STP,SÃ£o TomÃ© and PrÃ­ncipe,36,45.88,62.29,11.09,41.28,29.41,16.88,,49.33,32.9,42.29,26.32,11.81,5.72,100,100,10.54,11.64,41.28,42.39,0,0,,33.37,,,83.69,14.96,24.05,,57.35,31.46,60.41,51.31,33.27,26.32,11.81
682,SAU,Saudi Arabia,53.25,63.16,70.16,53.05,32.86,46.64,48.12,,60.51,33.93,34.64,87.79,29.41,44.42,86.63,88,54.69,51.41,32.86,84.22,25.8,25.8,52.91,5.7,98.03,,65.79,55.23,24.89,35.63,41.23,87.14,35.11,25.42,43.87,87.79,29.41
686,SEN,Senegal,47.37,44.88,62.47,8.08,37.11,49.04,91.51,28.29,42.46,33.77,33.59,42.69,26.49,6.17,100,100,8.49,7.66,37.11,82.4,100,100,98.83,53.72,98.94,28.29,58.26,26.67,33.94,37.11,32.17,14.06,44.79,33.18,34,42.69,26.49
688,SRB,Serbia,54.15,64.27,62.64,68.63,59.45,47.4,26.33,51.95,,57.93,48.04,60.49,52.95,22.57,90.12,88.57,71.46,65.79,59.45,,0,0,43.05,29.57,95,51.95,,,69.19,36.42,65.96,36.27,20.84,51.99,44.08,60.49,52.95
690,SYC,Seychelles,47.05,72.97,82.44,55.9,52.27,29.76,62.04,,49.3,10.04,0,26.32,14.01,56.11,100,100,57.26,54.54,52.27,54.15,80.88,77.69,,8.84,,,94.86,3.74,0,,25.35,99.46,0,0,0,26.32,14.01
694,SLE,Sierra Leone,40.61,40.48,60,0,29.51,40.7,59.68,32.16,50.61,40.16,41.34,0,26.33,0,100,100,0,0,29.51,76.21,44.13,64.76,55.76,18.89,96.21,32.16,99.32,1.91,49.44,,16.21,33.76,12.6,48.86,33.81,0,26.33
702,SGP,Singapore,73.64,91.01,88.69,99.76,68.54,62.07,21.1,,91.35,76.61,82.37,100,4.59,100,76.04,86.28,100,99.53,68.54,18.5,26.56,26.56,,4.47,,,82.7,100,79.36,41.49,97.71,98.21,83.6,81.13,83.61,100,4.59
703,SVK,Slovakia,70.92,68.72,68.7,67.24,77.98,72.39,93,20.68,,66.24,78.89,89.95,61.53,54.74,76.33,79.68,72.16,62.31,77.98,,100,100,100,52.64,91.36,20.68,,,81.45,54.92,43.52,35.26,81.28,79.51,78.27,89.95,61.53
705,SVN,Slovenia,72.43,72.76,72.73,70.08,89.27,72.2,93.69,47.95,,58.08,87.49,88.5,34.85,50.83,87.59,87.08,74.2,65.95,89.27,,100,100,100,55.14,94.39,47.95,,,62.68,52.46,54.88,44.05,61.31,99.84,75.14,88.5,34.85
90,SLB,Solomon Islands,36.31,47.59,60,22.55,36.56,28.78,24.17,38.38,75.74,28.5,19.42,0,16.68,0,100,100,21.56,23.54,36.56,52.25,3.62,3.62,10.62,4.04,97.42,38.38,99.23,52.26,33.05,,15.83,25.37,18.64,19.78,19.06,0,16.68
710,ZAF,South Africa,40.64,37.43,46.76,15.81,45.73,42.78,52.66,0,43.54,31.94,45.13,87.8,47.76,19.48,62.72,67.19,16.17,15.45,45.73,73.89,30.39,40.64,59.93,19.31,97.58,0,87.07,0,31.88,26.06,26.6,40.66,68.77,38.55,51.7,87.8,47.76
410,KOR,South Korea,65.81,76.87,67.86,96.52,76.06,58.45,43.21,39.44,67.33,57.42,74.34,98.22,49.71,100,42.71,50.15,97.12,95.92,76.06,84.25,14.09,14.09,48.14,20.22,90.76,39.44,88.3,46.36,57.46,26.79,91.69,49.13,50.69,79.42,69.27,98.22,49.71
724,ESP,Spain,71.5,90.63,89.38,100,50.61,58.75,92.02,19.99,42.67,45.55,43.52,99.71,29.74,75.19,100,97.69,100,100,50.61,83.78,100,100,99.97,56.63,96.06,19.99,37.16,48.18,28.68,63.52,74.71,40.04,31.15,52.6,34.44,99.71,29.74
144,LKA,Sri Lanka,53.6,59.98,66.45,46.22,58.29,49.34,76.34,42.9,63.79,52.18,28.32,0,22.05,17.79,100,97.79,44.09,48.35,58.29,62.32,85.11,96.97,70.44,41.59,92.12,42.9,94.84,32.74,67.21,29.49,41.21,46.6,42.09,23.82,32.82,0,22.05
729,SDN,Sudan,38.17,45.19,62.13,14.8,7.16,33.5,25.37,51.42,37.43,45.22,40.73,0,12.62,5.34,100,100,14.02,15.58,7.16,52.05,0,0,22.04,7.91,97.58,51.42,74.86,0,37.09,90.82,25.15,25.3,44.38,45.91,35.54,0,12.62
740,SUR,Suriname,57.21,58.29,72.12,34.53,21.02,56.49,70.25,65.02,52.2,67.6,45.09,7.53,33.22,30.31,100,100,36.44,32.61,21.02,86.41,42.48,42.46,82.62,100,94.54,65.02,71.18,33.22,100,19.84,40.28,44.27,67.32,41.63,48.56,7.53,33.22
748,SWZ,Swaziland,39.68,30.07,41.88,3.42,36.42,46.09,33.64,0.94,,69.41,41.14,64.23,32.45,3.01,66.19,69.4,3.32,3.53,36.42,,23.35,20.36,31.63,38.87,79.54,0.94,,,81.96,,39.09,44.95,39.32,29.76,52.53,64.23,32.45
752,SWE,Sweden,79.89,92.82,90.67,97.53,92.61,71.27,78.03,9.96,55.2,83.59,75.68,98.49,55.12,76.68,100,100,95.18,99.88,92.61,95.61,61.65,70.28,94.42,43.67,92.73,9.96,67.99,42.42,76.53,95.16,98.83,45.1,85.43,72.83,78.53,98.49,55.12
756,CHE,Switzerland,80.15,88.03,83.88,98.68,78.02,74.91,77.79,41.74,,72.5,98.83,99.67,43.87,77.51,88.03,88.22,97.35,100,78.02,,54.34,70.78,98.53,85.01,90,41.74,,,50.26,94.36,98.24,78.62,98.43,98.89,98.77,99.67,43.87
158,TWN,Taiwan,66.45,63.6,60.79,68.77,69.11,68.35,80.93,53.67,53.53,75.47,60.05,71.26,32.51,52.41,63.42,69.33,71.45,66.08,69.11,60.36,100,99.99,82.7,25.86,97.27,53.67,72.33,34.73,76.59,43.81,100,71.01,97.1,51.48,68.62,71.26,32.51
762,TJK,Tajikistan,48,21.92,21.05,21.43,36.08,65.39,66.31,52.96,,72.85,75.66,58.85,33.47,9.29,27.31,30.47,19.3,23.57,36.08,,63.79,71.35,63.48,35.03,98.18,52.96,,,75.22,99.85,51.69,39.37,59.22,59.13,92.2,58.85,33.47
834,TZA,Tanzania,48.11,42.43,59.67,5.86,37.79,51.9,95.42,23.64,47.62,31.72,45.61,54.03,28.76,3.08,100,94.81,5.25,6.46,37.79,88.79,99.31,98.74,96.14,92.18,96.06,23.64,86.59,8.64,33.97,38.28,26.1,18.58,18.52,51.67,39.55,54.03,28.76
764,THA,Thailand,47.71,40.73,33.08,52.78,67.86,52.36,75.11,22.44,54.27,37.03,57.43,77.05,27.17,27.5,34.12,39.46,61.76,43.8,67.86,87.66,75.48,58.32,95.08,28.23,89.85,22.44,52.82,55.71,42.53,35.39,23.34,29.19,51.16,65.6,49.27,77.05,27.17
626,TLS,Timor-Leste,36.57,44.42,62.1,7.88,33.9,31.33,29.24,33.82,87.78,21.98,0.73,37.28,29.38,5.25,100,100,6.13,9.63,33.9,11.48,23.53,23.53,27.9,19.64,99.85,33.82,89.64,85.92,26.32,,10.45,13.97,15.45,1.46,0,37.28,29.38
768,TGO,Togo,39.65,38.78,53.96,6.68,33.96,40.23,53.71,18.39,74.25,39.39,43.63,0,27.3,2.28,88.44,88.4,6.56,6.8,33.96,0,67.05,67.32,60.95,49.29,97.12,18.39,82.12,66.39,29.42,99.18,19.53,15.14,3.51,54.39,32.87,0,27.3
776,TON,Tonga,60.12,60.05,66.44,44.66,69.25,60.18,80.8,,98.63,34.58,69.92,58.45,17.69,16.11,100,100,44.89,44.44,69.25,86.1,97.91,97.91,,1.77,,,97.26,100,36.95,,22.37,15.42,69.38,69.04,70.79,58.45,17.69
780,TTO,Trinidad and Tobago,69.1,78.37,90.51,55.05,60.58,62.92,86.52,26.26,47.9,69.16,60.49,70.83,0,76.27,100,100,56.96,53.14,60.58,50.58,96.33,90.14,100,100,91.06,26.26,72.98,22.83,64.01,44.49,99.58,78.35,88.42,77.77,43.21,70.83,0
788,TUN,Tunisia,57.18,73.29,84.51,56.38,28.81,46.44,34.89,26.45,59.04,47.12,54.05,88.17,16.25,61.27,100,100,58.44,54.32,28.81,68.41,16.18,29.87,12.12,0.24,95.45,26.45,84.84,33.25,44.72,43.55,56.54,45.39,49.49,48.08,60.02,88.17,16.25
792,TUR,Turkey,51.13,65.12,74.35,47.87,48.65,41.8,25.05,28.94,57.17,39.36,38.85,92.21,40.25,49.25,91.41,90.73,49.92,45.82,48.65,66.83,1.03,1.27,2.45,10.81,96.51,28.94,71.24,43.1,41.11,34.01,36.84,53.73,39.03,43.64,34.06,92.21,40.25
795,TKM,Turkmenistan,49.42,64.37,82.46,28.49,44.53,39.44,28.49,,,27.79,60.75,74.79,50.83,57.71,100,97.94,26.34,30.63,44.53,,17.83,21.23,24.74,2.27,98.03,,,,38.58,28.71,1.74,15.05,33.22,71.67,49.83,74.79,50.83
800,UGA,Uganda,45.78,38.05,51.18,9.91,36.26,50.93,86.89,27,,36.58,50.54,40.84,26.17,4.19,81.72,83.28,9,10.82,36.26,,88.8,89.16,95.77,51.27,96.36,27,,,37.55,,42.92,22.22,11.9,51.56,49.52,40.84,26.17
804,UKR,Ukraine,57.12,67.75,70.18,60.45,79.95,50.03,48.77,22.82,44.37,52.29,46.8,78.76,57.55,35.49,95.11,91.52,58.17,62.74,79.95,91.87,25.77,29.2,43.68,20.34,86.36,22.82,73.72,15.03,51.72,43.27,59.48,58.89,58.6,42.29,51.31,78.76,57.55
784,ARE,United Arab Emirates,53.52,62.5,66.06,61.25,23.66,47.53,39.7,,62.1,37.71,56.46,96.87,0,67.9,61.79,67.89,65.5,57,23.66,62.34,2.33,2.33,80.04,10.06,92.88,,73.78,50.42,35.25,53.57,22.01,6.83,92.46,90.71,22.21,96.87,0
826,GBR,United Kingdom,77.24,89.97,86.88,97.9,82.63,68.76,93.6,17.97,36.93,62.23,83.5,99.82,57.34,76.55,95.81,91.71,100,95.8,82.63,88.33,100,100,100,65.74,93.64,17.97,65.9,7.96,54.65,44.58,91.49,64.56,89.14,84.21,82.79,99.82,57.34
840,USA,United States of America,70.7,92.6,97.29,89,53.22,56.1,71.21,7.02,49.49,47.41,55.47,92.57,72.38,97,100,94.97,79.53,98.48,53.22,100,57.71,67.42,71.57,22.15,96.51,7.02,79.3,19.68,52.56,46.3,36.69,35.77,54.95,59.27,51.67,92.57,72.38
858,URY,Uruguay,56.28,78.31,83.07,72.99,48.39,41.59,47.34,10.21,52.44,38.7,28.79,58.85,62.38,58.19,100,99.3,75.76,70.22,48.39,81.68,42.26,42.27,23.33,4.27,90,10.21,64.64,40.23,37.04,94.25,0,0,26.52,20.65,36.93,58.85,62.38
860,UZB,Uzbekistan,38.67,47.24,43.82,56.02,39.07,32.96,26.33,39.25,,37.41,56.12,0,46.47,19.26,54.82,65.57,49.99,62.06,39.07,,13.65,25.79,21.7,0.91,87.42,39.25,,,38.19,40.59,14.79,53.04,91.67,61.39,50.84,0,46.47
548,VUT,Vanuatu,51.53,47.84,60,22.93,39.21,53.99,35.22,69.21,60.85,74.75,32.34,58.45,13.48,0,100,100,22.32,23.55,39.21,48.05,22.42,22.42,27.85,11.59,99.09,69.21,96.31,25.39,98.17,,14.37,18.1,45.08,27.17,37.51,58.45,13.48
862,VEN,Venezuela,58.34,70.6,85.45,44.81,32.31,50.17,96.17,34.06,57.32,24.58,6.57,80.74,17.6,63.64,100,100,47.12,42.51,32.31,88.77,99.95,99.99,97.87,93.97,94.54,34.06,71.97,42.68,33.91,23.02,11.72,0.07,13.54,0,13.14,80.74,17.6
704,VNM,Viet Nam,40.53,39.97,36.32,46.35,49.12,40.91,59.82,19.97,61.89,30.41,30.54,33.06,45.6,14.22,48.71,53.39,43.21,49.5,49.12,83.17,44.17,37.96,78.13,25.46,85.91,19.97,99.24,24.54,15.85,54.23,37.59,44.17,38.36,31.42,29.66,33.06,45.6
894,ZMB,Zambia,50.44,29.29,43.08,0,25.78,64.54,99.25,34.32,,59.5,40.23,65.61,28.2,0,71.04,72.57,0,0,25.78,,100,100,99.16,97.76,97.88,34.32,,,89.48,45.83,16.29,15.81,30.88,18.87,61.6,65.61,28.2
716,ZWE,Zimbabwe,41.68,40.02,53.26,11.86,36.9,42.78,93.01,11.43,,16.52,9.97,75.44,12.22,5.44,84.05,86.24,12.23,11.48,36.9,,99.74,99.12,93.8,64.63,94.09,11.43,,,19.02,17.73,14.77,8.63,1.51,7.63,12.31,75.44,12.22
